Hello ^rb+dspt+++=Hello
For ^in++++=For
Sandwiches ^nns++++=Sandwiches
I ^pp1a+pp1+++=I
would ^md+prd+++=would
recommend ^vb+vsua+++=recommend
Aspen ^np+++??+=Aspen
Deli ^np+++??+=Deli,
, ^zz++++=EXTRAWORD
Mix ^vb++++=Mix
on ^in++++=on
the ^ati++++=the
Square ^nn++++=Square,
, ^zz++++=EXTRAWORD
The ^ati++++=The
Eat ^vb++++=Eat
And ^cc++++=And
Run ^nn++++=Run
or ^cc++++=or
Cafe ^nn++++=Cafe
Daily ^jj++++=Daily
Fare ^vb++++=Fare
They ^pp3a+pp3+++=They
Are ^vb+ber+aux++=are
Locally ^rb+pl+splt++=locally
Owned ^vbd+++xvbn+=owned
And ^cc++++=and
Are ^vb+ber+vrb++=Are
Local ^jj+atrb+++=local
Favorites ^nns++++=favorites
Your ^pp$+pp2+++=your
Welcome ^nn++++=welcome
