Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help/
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me
a ^rb++++=a
little ^rb"++++=little
about ^in++++=about
your ^pp$+pp2+++=your
food ^nn++++=food
preferences ^nns+nom+++=preferences?
? ^zz++++=EXTRAWORD
Fancy ^jj+atrb+++=Fancy
burgers ^nns+nom+++=burgers?
? ^zz++++=EXTRAWORD
Mexican ^jj++++=Mexican?
? ^zz++++=EXTRAWORD
Thai ^np+++??+=Thai?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
say ^vb+vpub+++=say
Karma ^np+++??+=Karma
Sushi ^np+++??+=Sushi
across ^in+pl+++=across
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
Pato ^np+++??+=Pato
Thai ^np+++??+=Thai
on ^in++++=on
San ^np++++=San
Francisco ^np++++=Francisco
is ^vbz+bez+vrb++=is
another ^ppls++++=another
good ^jj+atrb+++=good
option ^nn++++=option.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
the ^ati++++=the
Garden ^nn++++=Garden
Thrift ^nn++++=Thrift
store ^nn++++=store
on ^in++++=on
the ^ati++++=the
other ^ppls++++=other
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
railroad ^nn++++=railroad
tracks ^nns++++=tracks
on ^in++++=on
beaver ^np++++=Beaver
street ^nn++++=Street.
. ^zz++++=EXTRAWORD
