Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
with ^in++++=with
a ^at++++=a
relative ^nn++++=relative
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
afraid ^jj++++=afraid
of ^in++++=of
heights ^nns++++=heights
( ^zz++++=(won't
will ^md+prd+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
fly ^vb++++=fly),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
okay ^rb+dspt+++=okay.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
some ^dti++++=some
sections ^nns+nom+++=sections
where ^wrb+who+++=where
the ^ati++++=the
Canyon ^np+++??+=Canyon
juts ^nns+++??+=juts
out ^rp+pl+++=out
further ^jjb++++=further
that ^dt+pdem+++=that
might ^md+pos+++=might
not ^xnot++not++=not
be ^vb+be+vrb++=be
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
many ^ap++++=many
viewing ^jj+atrb++xvbg+=viewing
points ^nns++++=points
with ^in++++=with
good ^jj+atrb+++=good
railing ^nn+nom+++=railing
( ^zz++++=(like
like ^vb++++=EXTRAWORD
Mather ^np++++=Mather
Point ^nn++++=Point)
) ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
would ^md+prd+++=would
make ^vb++++=make
it ^pp3+it+++=it
well ^rb++++=well
your ^pp$+pp2+++=your
while ^cs+sub+++=while
and ^cc++++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
feel ^vb+vprv+++=feel
safe ^jj++++=safe
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
At ^in++++=At
many ^ap++++=many
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
that ^cs+sub+++=that
also ^rb++++=also
come ^vb++++=come
to ^to++++=to
mind ^vbi+v+++=mind
are ^vb+ber+vrb++=are
Hopi ^np+++??+=Hopi
Point ^nn++++=Point
and ^cc++++=and
around ^in++++=around
the ^ati++++=the
east ^nr+pl+++=east
side ^nn++++=side
of ^in++++=of
Yavapai ^np+++??+=Yavapai
Geology ^nn++++=Geology
Museum ^npl++++=Museum
( ^zz++++=(you
you ^pp2+pp2+++=EXTRAWORD
should ^md+nec+++=should
go ^vb++++=go
inside ^in+pl+++=inside
for ^in++++=for
an ^at++++=an
amazing ^jj+atrb+++=amazing
window ^nn++++=window
view ^nn++++=view
too ^rb++++=too.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
should ^md+nec+++=should
do ^vb+do+vrb++=do
okay ^rb+dspt+++=okay
and ^cc++++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
quite ^rb++++=quite
an ^at++++=an
experience ^nn+nom+++=experience.
. ^zz++++=EXTRAWORD
