Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time
of ^in++++=of
year ^nn++++=year,
, ^zz++++=EXTRAWORD
the ^ati++++=the
traffic ^nn++++=traffic
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
so ^rb+emph+++=so
bad ^jj++++=bad
going ^jj+++xvbg+=going
into ^in++++=into
the ^ati++++=the
Grand ^jj+atrb+++=Grand
Canyon ^np+++??+=Canyon.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
recommend ^vb+vsua+++=recommend
leaving ^jj+++xvbg+=leaving
Flagstaff ^np+++??+=Flagstaff
no ^at++++=no
later ^rbr+tm+++=later
than ^in++++=than
8am ^cd++++=8am
because ^cs+cos+++=because
that ^dt+pdem+++=that
will ^md+prd+++=will
ensure ^vb+vprv+++=ensure
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
arrive ^vb++++=arrive
before ^cs+sub+++=before
the ^ati++++=the
grand ^jj+atrb+++=Grand
canyon ^np++++=Canyon
railway ^nn++++=Railway
visitors ^nns++++=visitors
arrive ^vb++++=arrive
on ^in++++=on
the ^ati++++=the
train ^nn++++=train.
. ^zz++++=EXTRAWORD
