If ^cs+cnd+++=If
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
to ^to++++=to
either ^dt++++=either
I ^pp1a+pp1+++=I
would ^md+prd+++=would
go ^vb++++=go
to ^in++++=to
Grand ^jj+atrb+++=Grand
Canyon ^np+++??+=Canyon
That ^tht+rel+subj++=That
would ^md+prd+++=would
really ^rb+emph+++=really
be ^vb+be+vrb++=be
a ^at++++=a
an ^at++++=an
opinion ^nn++++=opinion
everyone ^pn++++=everyone
has ^vbz+hvz+vrb++=has
their ^pp$+pp3+++=their
favorite ^jj++++=favorite.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
say ^vb+vpub+++=say
the ^ati++++=the
most ^ql+emph+++=most
iconic ^nn++++=iconic
view ^nn++++=view
is ^vbz+bez+vrb++=is
Mather ^np++++=Mather
Point ^nn++++=point
Or ^cc++++=or
The ^ati++++=the
Views ^nns++++=views
From ^in++++=from
The ^ati++++=the
Historic ^jj+atrb+++=historic
Village ^nn+nom+++=village.
 ^zz++++=EXTRAWORD
