Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
Canyon ^np+++??+=Canyon
Vista ^np++++=Vista
Campground ^np+++??+=Campground
is ^vbz+bez+vrb++=is
a ^at++++=a
good ^jj++++=good
choice ^jjb++++=choice
on ^in++++=on
Lake ^nn++++=Lake
Mary ^np++++=Mary
Rd ^npl++++=Rd.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
campground ^nn+++??+=campground
and ^cc++++=and
takes ^vbz++++=takes
you ^pp2+pp2+++=you
through ^in++++=through
nice ^jj+atrb+++=nice
ponderosa ^np++++=Ponderosa
pine ^nn++++=pine
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
