Hello ^rb+dspt+++=Hello
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
name ^nn++++=name
is ^vbz+bez+vrb++=is
< ^zz++++=<Tour
tour ^nn++++=EXTRAWORD
Guide ^vb++++=Guide
A ^at++++=A>.
> ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you
with ^in++++=with
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
no ^at++++=no,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
fine ^jj++++=fine.
. ^zz++++=EXTRAWORD
Flagstaff ^np+++??+=Flagstaff
actually ^rb+amp+++=actually
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
too ^rb++++=too
hot ^jj++++=hot
in ^in++++=in
the ^ati++++=the
summer ^nn++++=summer!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We're
're ^vb+ber+vrb++0=EXTRAWORD
at ^in++++=at
7000 ^cd++++=7000
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
so ^ql++++=so
our ^pp$+pp1+++=our
summers ^nns+nom+++=summers
are ^vb+ber+vrb++=are
usually ^rb+down+++=usually
around ^in++++=around
85 ^cd++++=85
degrees ^nns+nom+++=degrees
F ^zz++++=F
at ^rb++++=at
the ^ati++++=the
hottest ^nn++++=hottest.
. ^zz++++=EXTRAWORD
A ^at++++=A
lot ^nn++++=lot
of ^in++++=of
visitors ^nns++++=visitors
will ^md+prd+++=will
either ^dt++++=either
rent ^nn++++=rent
a ^at++++=a
car ^nn++++=car
and ^cc++++=and
travel ^vb++++=travel
to ^in++++=to
Flagstaff ^np+++??+=Flagstaff
or ^cc++++=or
fly ^vb++++=fly
in ^in++++=in
to ^in++++=to
Phoenix ^nn++++=Phoenix
and ^cc++++=and
rent ^vb++++=rent
a ^at++++=a
car ^nn++++=car
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Phoenix ^np++++=Phoenix
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
a ^at++++=a
2.5 ^cd++++=2.5
hour ^nn++++=hour
drive ^vb++++=drive
south ^nr+pl+++=south
of ^in++++=of
Flagstaff ^np+++??+=Flagstaff,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
drive ^nn++++=drive
is ^vbz+bez+vrb++=is
easy ^jj+pred+++=easy.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
also ^rb++splt++=also
take ^vb++++=take
the ^ati++++=the
Arizona ^np++++=Arizona
Shuttle ^nn++++=Shuttle
from ^in++++=from
the ^ati++++=the
Phoenix ^np++++=Phoenix
airport ^npl++++=airport
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
rent ^vbi++++=rent
a ^at++++=a
car ^nn++++=car.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
rent ^vbi++++=rent
a ^at++++=a
car ^nn++++=car,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
public ^jj+atrb+++=public
bus ^nn++++=bus
system ^nn++++=system
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
can ^md+pos+++=can
take ^vb++++=take
most ^ql+emph+++=most
places ^nns++++=places
in ^in++++=in
Flagstaff ^np+++??+=Flagstaff.
. ^zz++++=EXTRAWORD
A ^at++++=A
day ^nn++++=day
pass ^vb++++=pass
for ^in++++=for
the ^ati++++=the
bus ^nn++++=bus
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
$ ^zz++++=$2.50,
2.50 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
most ^rbt+emph+++=most
of ^in++++=of
the ^ati++++=the
bus ^nn++++=bus
schedules ^nns++++=schedules
