Hello ^rb+dspt+++=Hello
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
kinds ^nns++++=kinds
of ^in++++=of
places ^nns++++=places
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
like ^vb++++=like
to ^to+vcmp+++=to
go ^vbi++++=go?
? ^zz++++=EXTRAWORD
Are ^vb+ber+aux++=Are
you ^pp2+pp2+++=you
looking ^vbg+++xvbg+=looking
for ^in+ppvb+++=for
nightlife ^nn+++??+=nightlife
or ^cc++++=or
karaoke ^nn+++??+=karaoke,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example?
? ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
always ^rb++++=always
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
great ^jj+atrb+++=great
options ^nns+nom+++=options
in ^in++++=in
downtown ^rn++++=downtown
Flagstaff ^np+++??+=Flagstaff
for ^in++++=for
live ^vb++++=live
music ^nn++++=music,
, ^zz++++=EXTRAWORD
at ^in++++=at
bars ^nns++++=bars
like ^in++++=like
The ^ati++++=The
State ^nn++++=State
Bar ^nn++++=Bar
and ^cc++++=and
the ^ati++++=the
Hotel ^nn++++=Hotel
Monte ^np++++=Monte
Vista ^np++++=Vista.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
activities ^nns+nom+++=activities
are ^vb+ber+aux++=are
going ^vbg+++xvbgx+=going
on ^rb+phrv+++=on
at ^in++++=at
www.flaglive.com ^nn+++??+=www.flaglive.com
for ^in++++=for
music ^nn++++=music
and ^cc++++=and
events ^nns++++=events.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
that ^dt+pdem+++=that
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
interest ^vb++++=interest
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
also ^rb++++=also
have ^vb+hv+vrb++=have
Lowell ^np+++??+=Lowell
Observatory ^np+++??+=Observatory,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
discovered ^vbd+vprv++xvbnx+=discovered
Pluto ^np++++=Pluto.
. ^zz++++=EXTRAWORD
The ^ati++++=The
observatory ^nn++++=observatory
is ^vbz+bez+vrb++=is
open ^jj+pred+++=open
until ^cs+sub+++=until
10pm ^cd++++=10pm
and ^cc++++=and
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
nighttime ^nn+++??+=nighttime
viewing ^vwbg+++xvbg+=viewing
of ^in++++=of
the ^ati++++=the
stars ^nns++++=stars
and ^cc++++=and
planets ^nns++++=planets
through ^in++++=through
their ^pp$+pp3+++=their
telescopes ^nns++++=telescopes.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
Do ^vb+do+aux++=DO
actually ^rb+amp+++=actually
have ^vb+hv+vrb++=have
a ^at++++=a
stuffed ^jj+atrb++xvbn+=stuffed
animal ^nn++++=animal
of ^in++++=of
Pluto ^np++++=Pluto
in ^in++++=in
their ^pp$+pp3+++=their
exhibit ^vb++++=exhibit
hall ^npl++++=hall,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
discovered ^vbd+vprv++xvbnx+=discovered
the ^ati++++=the
dwarf ^nn++++=dwarf
planet ^nn++++=planet,
, ^zz++++=EXTRAWORD
Pluto ^np++++=Pluto,
, ^zz++++=EXTRAWORD
at ^in++++=at
Lowell ^np+++??+=Lowell.
. ^zz++++=EXTRAWORD
Haha ^np+++??+=Haha
absolutely ^rb+amp+++=absolutely.
. ^zz++++=EXTRAWORD
Flagstaff ^np++++=Flagstaff's
's ^$++++=EXTRAWORD
downtown ^rn++++=downtown
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
safe ^nn++++=safe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
car ^nn++++=car
I ^pp1a+pp1+++0=I'd
