Hello ^rb+dspt+++=Hello
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
some ^dti++++=some
great ^jj+atrb+++=great
breweries ^nns+nom+++=breweries
for ^in++++=for
food ^nn++++=food
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
Beer ^nn++++=Beer
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have:
: ^zz++++=EXTRAWORD
Beaver ^np+++??+=Beaver
Street ^nn++++=Street
brewery ^nn+nom+++=brewery,
, ^zz++++=EXTRAWORD
Lumberyard ^np+++??+=Lumberyard
Brewery ^nn+nom+++=Brewery,
, ^zz++++=EXTRAWORD
Historic ^jj+atrb+++=Historic
Brewery ^nn+nom+++=Brewery
and ^cc++++=and
Flagstaff ^np+++??+=Flagstaff
Brewery ^nn+nom+++=Brewery.
. ^zz++++=EXTRAWORD
No ^at++++=No
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
right ^jj+pred+++=right
downtown ^rn++++=downtown
inside ^in+pl+++=inside
the ^ati++++=the
Visitor ^nn++++=Visitor
Center ^np+++??+=Center
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
a ^at++++=a
downtown ^rn++++=downtown
dining ^nn++++=dining
map ^nn++++=map
that ^tht+rel+subj++=that
will ^md+prd+++=will
show ^vb+vprv+++=show
the ^ati++++=the
locations ^nns+nom+++=locations.
. ^zz++++=EXTRAWORD
