Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
A ^at++++=A
big ^jj++++=big
U ^zz++++=U
shaped ^vwbn+++xvbn+=shaped
turn ^nn++++=turn?
? ^zz++++=EXTRAWORD
This ^dt+pdem+++=This?
? ^zz++++=EXTRAWORD
< ^zz++++=<<picture>>
< ^zz++++=EXTRAWORD
picture ^nn++++=EXTRAWORD
> ^zz++++=EXTRAWORD
> ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
Horseshoe ^np+++??+=Horseshoe
Bend ^nn++++=Bend
in ^in++++=in
Page ^nn++++=Page,
, ^zz++++=EXTRAWORD
Az ^np+++??+=AZ.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
about ^in++++=about
2 ^zz++++=2
hours ^nns++++=hours
from ^in++++=from
Flagstaff ^np+++??+=Flagstaff
on ^in++++=on
89 ^cd++++=89
N ^zz++++=N.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
free ^jj++++=free
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
a ^at++++=a
National ^jj+atrb+++=National
Parks ^nns++++=Parks
Pass ^vb++++=Pass.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
signs ^nns++++=signs
from ^in++++=from
the ^ati++++=the
road ^nn++++=road
and ^cc++++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
0.75 ^nn+++??+=0.75
mile ^nn++++=mile
hike ^nn+++??+=hike
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
$ ^zz++++=$30
30 ^cd++++=EXTRAWORD
pass ^vb++++=pass
there ^rn+pl+++=there
at ^in++++=at
the ^ati++++=the
Parking ^jj+atrb++xvbg+=Parking
Lot ^nn++++=Lot.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
considering ^vbg+++xvbgx+=considering
going ^vbg+++xvbg+=going
to ^in++++=to
any ^dti++++=any
other ^ppls++++=other
parks ^nns++++=parks,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
get ^vb++++=get
the ^ati++++=the
America ^np++++=America
the ^ati++++=the
Beautiful ^nn++++=Beautiful
Pass ^vb++++=Pass
for ^in++++=for
$ ^zz++++=$80
80 ^cd++++=EXTRAWORD
at ^in++++=at
any ^dt++++=any
National ^jj+atrb+++=National
Park ^nn++++=Park
or ^cc++++=or
Monument ^nn+nom+++=Monument.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
even ^rb++splt++=even
go ^vb++++=go
to ^in++++=to
Sunset ^nn++++=Sunset
Crater ^np+++??+=Crater
National ^jj+atrb+++=National
Monument ^nn+nom+++=Monument
( ^zz++++=(19
19 ^cd++++=EXTRAWORD
miles ^nns++++=miles
outside ^in+cmpx+++=outside
of ^in"++++=of
Flagstaff ^np+++??+=Flagstaff
on ^in++++=on
89 ^cd++++=89,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
way ^nn++++=way)
) ^zz++++=EXTRAWORD
to ^to++++=to
obtain ^vbi++++=obtain
one ^pn++++=one
at ^in++++=at
their ^pp$+pp3+++=their
visitor ^nn++++=visitor's
's ^vbz+bez+vrb++0=EXTRAWORD
center ^jjr++++=center.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=would
leave ^vb++++=leave
the ^ati++++=the
Parks ^nns++++=Parks
pass ^vb++++=pass
on ^rb+phrv+++=on
your ^pp$+pp2+++=your
dashboard ^nn+++??+=dashboard,
, ^zz++++=EXTRAWORD
so ^ql++++=so
not ^xnot++not++=not
to ^to++++=to
get ^vbi++++=get
a ^at++++=a
ticket ^nn++++=ticket
at ^in++++=at
horseshoe ^np++++=Horseshoe
bend ^nn++++=Bend.
. ^zz++++=EXTRAWORD
