You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
in ^in++++=in
the ^ati++++=the
center ^nn++++=center
of ^in++++=of
the ^ati++++=the
historic ^jj++++=historic
downtown ^rn++++=downtown
just ^rb+emph+++=just
across ^in+pl+++=across
Route ^nn++++=Route
66 ^cd++++=66
is ^vbz+bez+vrb++=is
the ^ati++++=the
main ^jjb+atrb+++=main
area ^nn++++=area.
. ^zz++++=EXTRAWORD
The ^ati++++=The
main ^jjb+atrb+++=main
industry ^nn++++=industry
in ^in++++=in
Flagstaff ^np+++??+=Flagstaff
is ^vbz+bez+vrb++=is
Tourism ^np+nom++??+=Tourism,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes
you ^pp2+pp2+++=you
can ^md+pos+++=can
reach ^vb++++=reach
downtown ^rn++++=downtown
by ^in++++=by
foot ^nn++++=foot
just ^rb+emph+++=just
head ^jjb++++=head
to ^in++++=to
the ^ati++++=the
light ^nn++++=light
on ^in++++=on
the ^ati++++=the
East ^np+pl+++=East
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
train ^nn++++=train
station ^nn+nom+++=station
and ^cc++++=and
across ^in+pl+++=across
the ^ati++++=the
street ^nn++++=street
at ^rb++++=at
San ^np++++=San
Francisco ^np++++=Francisco
St ^npt++++=St
and ^cc++++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
be ^vb+be+vrb++=be
in ^in++++=in
the ^ati++++=the
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
The ^ati++++=The
main ^jjb+atrb+++=main
places ^nns++++=places
to ^to++++=to
visit ^vbi++++=visit
the ^ati++++=the
city ^nn++++=city
are ^vb+ber+vrb++=are
the ^ati++++=the
historic ^jj++++=historic
downtown ^rn++++=downtown,
, ^zz++++=EXTRAWORD
Lowell ^np+++??+=Lowell
Observatory ^np+++??+=Observatory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Museum ^nn++++=Museum
of ^in++++=of
Northern ^np++++=Northern
Arizona ^np++++=Arizona.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
also ^rb++++=also
many ^ap++++=many
great ^jj+atrb+++=great
outdoor ^jjb+atrb+++=outdoor
activities ^nns+nom+++=activities
just ^rb+emph+++=just
outside ^in+cmpx+++=outside
of ^in"++++=of
town ^nn++++=town.
. ^zz++++=EXTRAWORD
Flagstaff ^np+++??+=Flagstaff
has ^vbz+hvz+vrb++=has
about ^in++++=about
70,000 ^cd++++=70,000
residents ^nns++++=residents.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
type ^nn++++=type
of ^in++++=of
food ^nn++++=food
would ^md+prd+++=would
you ^pp2+pp2+++=you
like ^vb++++=like?
? ^zz++++=EXTRAWORD
Charley ^np++++=Charley
Pub ^nn++++=Pub
and ^cc++++=and
grill ^nn++++=grill
does ^vbz+doz+vrb++=does
Southwestern ^np+++??+=Southwestern
and ^cc++++=and
American ^jj+atrb+++=American
food ^nn++++=food
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
a ^at++++=a
Navajo ^np+++??+=Navajo
Taco ^np+++??+=Taco
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
local ^jj+pred+++=local
to ^in++++=to
the ^ati++++=the
area ^nn++++=area,
, ^zz++++=EXTRAWORD
Martannes ^np+++??+=Martannes
Cafe ^nn++++=Cafe
is ^vbz+bez+vrb++=is
another ^dt++++=another
local ^jj+atrb+++=local
southwestern ^jj+atrb++xvbn+=southwestern
restaurant ^nn+nom+++=restaurant
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
a ^at++++=a
local ^jj++++=local
favorite ^jj++++=favorite,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
diablo ^np++++=Diablo
burger ^np++++=Burger
which ^whp+rel+subj++=which
serves ^vbz++++=serves
local ^jj+atrb+++=local
grass ^nn++++=grass
fed ^vwbn+++xvbn+=fed
beef ^nn++++=beef.
. ^zz++++=EXTRAWORD
