How ^wrb+who+++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
The ^ati++++=The
Museum ^nn++++=Museum
of ^in++++=of
Northern ^np++++=Northern
Arizona ^np++++=Arizona
is ^vbz+bez+vrb++=is
3 ^zz++++=3
miles ^nns++++=miles
north ^np+pl+++=north
of ^in++++=of
of ^in++++=of
downtown ^rn++++=downtown
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
definitely ^rb++++=definitely
worth ^in++++=worth
it ^pp3+it+++=it
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
great ^jj+atrb+++=great
exhibits ^nns++++=exhibits
on ^in++++=on
the ^ati++++=the
native ^jj+atrb+++=native
cultures ^nns++++=cultures
of ^in++++=of
our ^pp$+pp1+++=our
region ^nn++++=region
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
geology ^nn++++=geology
and ^cc++++=and
paleontology ^nn+++??+=paleontology
or ^cc++++=or
our ^pp$+pp1+++=our
region ^nn++++=region.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes
is ^vbz+bez+aux++=is
is ^vbz+bez+vrb++=is
interesting ^jj+pred+++=interesting
and ^cc++++=and
fun ^nn++++=fun
to ^in++++=to
work ^nn++++=work
in ^in++++=in
this ^dt+dem+++=this
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
city ^nn++++=city.
. ^zz++++=EXTRAWORD
Sedona ^np+++??+=Sedona
is ^vbz+bez+vrb++=is
also ^rb++++=also
worth ^in++++=worth
a ^at++++=a
visit ^nn++++=visit
the ^ati++++=the
re ^in++++=re
rocks ^nns++++=rocks
in ^in++++=in
the ^ati++++=the
are ^vb+ber+aux++=are
a ^at++++=a
are ^vb+ber+vrb++=are
beautiful ^jj+pred+++=beautiful
and ^cc++++=and
the ^ati++++=the
new ^jj+atrb+++=new
age ^nn++++=age
arts ^nns++++=arts
culture ^nn++++=culture
of ^in++++=of
Sedona ^np+++??+=Sedona
a ^at++++=a
very ^ql+amp+++=very
unique ^jj++++=unique.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
leave ^vb++++=leave
you ^pp2+pp2+++=you
car ^nn++++=car
parked ^vbd+++xvbn+=parked
on ^in++++=on
the ^ati++++=the
east ^np+pl+++=east
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
Visitor ^nn++++=Visitor
Center ^np+++??+=Center
for ^in++++=for
$ ^zz++++=$1
1 ^zz++++=EXTRAWORD
per ^in++++=per
hour ^nn++++=hour
the ^ati++++=the
west ^np+pl+++=west
lot ^nn++++=lot
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
15 ^cd++++=15
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
No ^at++++=No
the ^ati++++=the
museum ^nn++++=museum
is ^vbz+bez+vrb++=is
on ^in++++=on
Highway ^nn++++=Highway
180 ^cd++++=180,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
Visitor ^nn++++=Visitor
Center ^np+++??+=Center
you ^pp2+pp2+++=you
will ^md+prd+++=will
take ^vb++++=take
a ^at++++=a
left ^nn++++=left
on ^in++++=on
Route ^nn++++=Route
66 ^cd++++=66,
, ^zz++++=EXTRAWORD
a ^at++++=a
right ^nn++++=right
on ^in++++=on
Humphreys ^np+++??+=Humphreys
street ^nn++++=street
and ^cc+cls+++=and
when ^wrb+who+++=when
Humphreys ^np+++??+=Humphreys
ends ^nns++++=ends
at ^rb++++=at
highway ^nn++++=highway
180 ^cd++++=180
make ^vb++++=make
another ^dt++++=another
left ^vwbn+++xvbn+=left
then ^rn+tm+++=then
watch ^vb++++=watch
for ^in+ppvb+++=for
the ^ati++++=the
signs ^nns++++=signs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
admission ^nn++++=admission
to ^in++++=to
the ^ati++++=the
the ^ati++++=the
museum ^nn++++=museum
is ^vbz+bez+vrb++=is
$ ^zz++++=$12
12 ^cd++++=EXTRAWORD
of ^in++++=of
adults ^nns++++=adults,
, ^zz++++=EXTRAWORD
$ ^zz++++=$10
10 ^cd++++=EXTRAWORD
for ^in++++=for
seniors ^nns++++=seniors
or ^cc++++=or
military ^jj++++=military,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
$ ^zz++++=$8
8 ^zz++++=EXTRAWORD
for ^in++++=for
children ^nns++++=Children.
. ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
welcome ^jj+atrb+++=welcome
