Hello ^rb+dspt+++=Hello
How ^wrb+who+++=How
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
one ^cd1++++=one
just ^rb+emph+++=just
over ^in++++=over
the ^ati++++=the
rail ^nn++++=rail
road ^npl++++=road
tracks ^nns++++=tracks
on ^in++++=on
Phoenx ^np+++??+=Phoenx
ave ^vb+++??+=ave
called ^vbd+++xvbn+=called
the ^ati++++=the
Garden ^nn++++=Garden
Thrift ^nn++++=Thrift
Store ^nn++++=Store
The ^ati++++=The
others ^aps++++=others
are ^vb+ber+aux++=are
located ^vpsv++agls+xvbnx+=located
on ^in++++=on
the ^ati++++=the
east ^np+pl+++=east
side ^nn++++=side
of ^in++++=of
town ^nn++++=town
their ^pp$+pp3+++=their
is ^vbz+bez+vrb++=is
a ^at++++=a
goodwill ^nn++++=goodwill
and ^cc++++=and
Saveers ^nns+nom++??+=Saveers
located ^vwbn+++xvbn+=located
about ^in++++=about
5miles ^cd++++=5miles
downroute ^nn+++??+=downRoute
66 ^cd++++=66
by ^in++++=by
the ^ati++++=the
Flagstaff ^np+++??+=Flagstaff
Mall ^np+++??+=Mall
on ^in++++=on
4th ^cd++++=4th
street ^nn++++=street
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
about ^in++++=about
three ^cd++++=three
miles ^nns++++=miles
down ^in++++=down
Route ^nn++++=Route
66 ^cd++++=66
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
a ^at++++=a
couple ^nn++++=couple
more ^ql++++=more
sharon ^np++++=Sharon's
's ^$++++=EXTRAWORD
attic ^nn++++=attic
and ^cc++++=and
habitat ^nn++++=Habitat
for ^in++++=for
humanity ^nn+nom+++=Humanity
restore ^vb++++=restore
