Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
With ^in++++=With
only ^rb+down+++=only
one ^cd++++=one
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
recommend ^vb+vsua+++=recommend
visiting ^vbg+++xvbg+=visiting
downtown ^rn++++=downtown
Flagstaff ^np+++??+=Flagstaff.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
easily ^rb++splt++=easily
spend ^vb++++=spend
an ^at++++=an
hour ^nn++++=hour
wandering ^vwbg+++xvbg+=wandering
around ^rp++++=around.
. ^zz++++=EXTRAWORD
The ^ati++++=The
majority ^nn+nom+++=majority
of ^in++++=of
the ^ati++++=the
downtown ^rn++++=downtown
has ^vbz+hvz+aux++=has
kept ^vprf+++xvbnx+=kept
its ^pp$+it+++=its
original ^jj+atrb+++=original
historic ^jj+atrb+++=historic
buildings ^nns++++=buildings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
also ^rb++++=also
dozens ^cds++++=dozens
of ^in++++=of
beautiful ^jj+atrb+++=beautiful
murals ^nn++++=murals
by ^in++++=by
local ^jj+atrb+++=local
artists ^nns+nom+++=artists
to ^to++++=to
see ^vbi+vprv+++=see
and ^cc++++=and
most ^ql+emph+++=most
everything ^pn++++=everything
downtown ^rn++++=downtown
is ^vbz+bez+aux++=is
locally ^rb+pl+splt++=locally
owned ^vpsv++agls+xvbnx+=owned
and ^cc+phrs+++=and
operated ^vbd+++xvbn+=operated.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
go ^vbi++++=go
a ^rb++++=a
little ^rb"++++=little
further ^jjb++++=further
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
go ^vb++++=go
up ^in+cmpx+++=up
to ^in++++=to
Lowell ^np+++??+=Lowell
Observatory ^np+++??+=Observatory.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
5 ^zz++++=5
minute ^jj++++=minute
drive ^vb++++=drive
up ^rp++++=up
the ^ati++++=the
hill ^nn++++=hill
and ^cc++++=and
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=do
tours ^nns++++=tours
during ^in++++=during
the ^ati++++=the
day ^nn++++=day.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
about ^in++++=about
30 ^cd++++=30-45
- ^zz++++=EXTRAWORD
45 ^cd++++=EXTRAWORD
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
can ^md+pos+++=can
always ^rb++splt++=always
leave ^vb++++=leave
or ^cc+phrs+++=or
wander ^vb++++=wander
around ^rp++++=around
on ^in++++=on
your ^pp$+pp2+++=your
own ^ap++++=own
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
prefer ^vb+vprv+++=prefer.
. ^zz++++=EXTRAWORD
