there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
lake ^nn++++=lake
Mary ^np++++=Mary
Ashurst ^np+++??+=Ashurst
Lake ^nn++++=Lake
and ^cc++++=and
Oak ^nn++++=Oak
Creek ^npl++++=Creek
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
good ^jj+pred+++=good
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
all ^rb++splt++=all
stocked ^vpsv++agls+xvbnx+=stocked
with ^in++++=with
trout ^np++++=trout
so ^ql++++=so
make ^vb++++=make
sure ^uh++++=sure
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
a ^at++++=a
trout ^nn++++=trout
stamp ^nn++++=stamp
on ^in++++=on
your ^pp$+pp2+++=your
license ^vb+++??+=license
Lake ^npl++++=Lake
may ^md+pos+++=may
is ^vbz+bez+vrb++=is
about ^in++++=about
10 ^cd++++=10
miles ^nns++++=miles
Ashursh ^np+++??+=Ashursh
is ^vbz+bez+vrb++=is
about ^in++++=about
20 ^cd++++=20
miles ^nns++++=miles
and ^cc++++=and
Oak ^nn++++=Oak
Creak ^vb++++=creak
Begins ^vbz++++=begins
About ^in++++=about
0 ^cd++++=20
Miles ^nns++++=miles
From ^in++++=from
Here ^rn+pl+++=here
Your ^pp$+pp2+++=Your
Welcome ^nn++++=welcome
