Yeah ^uh++++=Yeah
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
still ^rb++++=still
worth ^in++++=worth
a ^at++++=a
visit ^nn++++=visit
typically ^rb++++=typically
it ^pp3+it+++=it
does ^vbz+doz+vrb++=doesn't
n't ^xnot++not++0=EXTRAWORD
rain ^nn++++=rain
all ^abn++++=all
day ^nn++++=day
it ^pp3+it+++=it
will ^md+prd+++=will
just ^rb+emph+++=just
be ^vb+be+vrb++=be
on ^in++++=on
and ^cc++++=and
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
clouds ^nns++++=clouds
are ^vb+ber+vrb++=are
in ^in++++=in
the ^ati++++=the
sky ^nn++++=sky
after ^cs+sub+++=after
a ^at++++=a
thunderstorm ^nn++++=thunderstorm
they ^pp3a+pp3+++=they
make ^vb++++=make
the ^ati++++=the
best ^jjt+atrb+++=best
sunsets ^nns++++=sunsets
if ^cs+cnd+++=if
yo ^nn+++??+=yo
are ^vb+ber+vrb++=are
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
stay ^vb++++=stay
at ^in++++=at
the ^ati++++=the
grand ^jj+atrb+++=Grand
canyon ^nn++++=Canyon
until ^in++++=until
sunset ^nn++++=Sunset.
. ^zz++++=EXTRAWORD
your ^pp$+pp2+++=Your
welcom ^nn++++=welcom
