I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
sure ^uh++++=sure
if ^cs+cnd+++=if
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true
or ^cc++++=or
not ^xnot++not++=not
but ^cc++++=but
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
rumor ^nn++++=rumor
that ^tht+ncmp+obj++=that
there ^ex+pex+++=there
were ^vbd+bed+aux++=were
scenes ^nns++++=scenes
shot ^vbd+++xvbn+=shot
in ^in++++=in
the ^ati++++=the
Hotel ^nn++++=Hotel
Monte ^np++++=Monte
Vista ^nn++++=Vista
Lobby ^nn++++=Lobby.
. ^zz++++=EXTRAWORD
Notable ^jj+atrb+++=Notable
Route ^nn++++=Route
66 ^cd++++=66
builgins ^nns+++??+=builgins
would ^md+prd+++=would
be ^vb+be+vrb++=be
the ^ati++++=the
Grand ^jj+atrb+++=Grand
Canyon ^np+++??+=Canyon
Cafe ^nn++++=Cafe,
, ^zz++++=EXTRAWORD
The ^ati++++=The
Lumberjack ^np+++??+=Lumberjack
Cafe ^nn++++=Cafe
( ^zz++++=(vacant)
vacant ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Miz ^np+++??+=Miz
Zips ^np+++??+=Zips,
, ^zz++++=EXTRAWORD
The ^ati++++=The
Museum ^nn++++=Museum
Club ^nn++++=Club,
, ^zz++++=EXTRAWORD
Galaxy ^nn++++=Galaxy
and ^cc++++=and
the ^ati++++=the
El ^np++++=El
Pueblo ^nn++++=Pueblo
Motel ^np+++??+=Motel
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^ap++++=a
few ^ap"++++=few
iconic ^nn++++=iconic
places ^nns++++=places.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
complimentary ^jj+atrb+++=complimentary
maps ^nns++++=Maps
at ^in++++=at
the ^ati++++=the
visitor ^nn++++=Visitor
center ^np++++=Center.
. ^zz++++=EXTRAWORD
your ^pp$+pp2+++=Your
welcome ^nn++++=Welcome
