Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you
with ^in++++=with
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
used ^nn++++=used
bookstore ^vb+++??+=bookstore
downtown ^rn++++=downtown,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
half ^rb++++=half
a ^at++++=a
block ^nn++++=block
from ^in++++=from
the ^ati++++=the
Visitor ^nn++++=Visitor
Center ^np+++??+=Center.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
Starrlight ^np+++??+=Starrlight
Books ^nns++++=Books,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
north ^nr+pl+++=north
on ^in++++=on
Leroux ^np+++??+=Leroux
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
also ^rb++++=also
a ^at++++=a
local ^jj+atrb+++=local
independant ^nn+nom+++=independant
bookstore ^nn+++??+=bookstore
called ^vbd+++xvbn+=called
brightside ^np++++=Brightside
book ^nn++++=Book
shop ^nn++++=Shop
on ^in++++=on
n ^zz++++=N
san ^np++++=San
francisco ^np++++=Francisco
st ^npt++++=St.
. ^zz++++=EXTRAWORD
