Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
on ^in++++=on
the ^ati++++=the
Amtrak ^np+++??+=Amtrak
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
Visitor ^np++++=Visitor's
's ^$++++=EXTRAWORD
Center ^np+++??+=Center.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
$ ^zz++++=$1
1 ^zz++++=EXTRAWORD
an ^at++++=an
hour ^nn++++=hour
to ^in++++=to
park ^nn++++=park.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kiosk ^nn++++=kiosk
To ^to++++=to
Pay ^vbi++++=pay
Is ^vbz+bez+vrb++=is
Near ^in+pl+++=near
The ^ati++++=the
Green ^jj+atrb+++=green
Dumpster ^nn+nom+++=dumpster.
 ^zz++++=EXTRAWORD
