Is ^vbz+bez+vrb++=Is
there ^rn+pl+++=there
any ^dt++++=any
type ^nn++++=type
of ^in++++=of
food ^nn++++=food
you ^pp2+pp2+++=you
like ^vb++++=like
or ^cc++++=or
dislike ^nn++++=dislike?
? ^zz++++=EXTRAWORD
Casa ^np+++??+=Casa
Duarante ^np+++??+=Duarante
or ^cc++++=or
El ^np++++=El
Capitan ^np+++??+=Capitan
are ^vb+ber+vrb++=are
great ^jj+atrb+++=great
Mexican ^jj+atrb+++=Mexican
places ^nns++++=places
for ^in++++=for
Pizza ^nn++++=Pizza
Pizzacletta ^np+++??+=Pizzacletta
is ^vbz+bez+vrb++=is
a ^at++++=a
good ^jj+atrb+++=good
Neapolitan ^nn+nom+++=Neapolitan
style ^nn++++=style
pizza ^nn++++=pizza
or ^cc++++=or
Fratellis ^np+++??+=Fratellis
is ^vbz+bez+vrb++=is
a ^at++++=a
local ^jj++++=local
favorite ^jj++++=favorite.
. ^zz++++=EXTRAWORD
Flagstaff ^np+++??+=Flagstaff
is ^vbz+bez+aux++=is
know ^vb+vprv+++=know
for ^in++++=for
southwestern ^vwbn+++xvbn+=southwestern
food ^nn++++=food
Charlies ^np+++??+=Charlies
or ^cc++++=or
Kachina ^np+++??+=Kachina
have ^vb+hv+vrb++=have
a ^at++++=a
Navajo ^np+++??+=Navajo
taco ^nn+++??+=taco
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
local ^jj+pred+++=local
to ^to++++=to
our ^pp$+pp1+++=our
area ^nn++++=area.
. ^zz++++=EXTRAWORD
your ^pp$+pp2+++=Your
welcome ^nn++++=Welcome
