Hello ^rb+dspt+++=Hello
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
name ^nn++++=name
is ^vbz+bez+vrb++=is
< ^zz++++=<Tour
tour ^nn++++=EXTRAWORD
Guide ^vb++++=Guide
A ^at++++=A>.
> ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
kinds ^nns++++=kinds
of ^in++++=of
things ^nns++++=things
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
interested ^vbd+++xvbn+=interested
in ^in++++=in
doing ^xvbg+++xvbg+=doing?
? ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
kind ^rb++++=kind
of ^rb"++++=of
hiking ^nn++++=hiking
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
like ^vb++++=like
to ^to+vcmp+++=to
do ^vbi++++=do?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
hundreds ^cds++++=hundreds
of ^in++++=of
miles ^nns++++=miles
of ^in++++=of
trails ^nns++++=trails,
, ^zz++++=EXTRAWORD
of ^in++++=of
all ^abn++++=all
lengths ^nns++++=lengths
and ^cc++++=and
levels ^nns++++=levels
of ^in++++=of
difficulty ^nn++++=difficulty.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
great ^jj+atrb+++=great
views ^nns++++=views
the ^ati++++=the
big ^jj+atrb+++=big
one ^cd++++=one
that ^cs+sub+++=that
everyone ^pn++++=everyone
wants ^vbz++++=wants
to ^to+vcmp+++=to
do ^vbi++++=do
is ^vbz+bez+vrb++=is
Humphreys ^np+++??+=Humphreys
Peak ^nn++++=Peak.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trail ^nn++++=trail
is ^vbz+bez+vrb++=is
strenuous ^jj+pred+++=strenuous
and ^cc++++=and
about ^in++++=about
a ^at++++=a
6 ^zz++++=6-8
- ^zz++++=EXTRAWORD
8 ^zz++++=EXTRAWORD
hour ^nn++++=hour
roundtrip ^nn+++??+=roundtrip
hike ^nn+++??+=hike,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
definitely ^rb++++=definitely
worth ^in++++=worth
the ^ati++++=the
trek ^nn++++=trek!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
tallest ^jjt+atrb+++=tallest
point ^nn++++=point
in ^in++++=in
Arizona ^np++++=Arizona.
. ^zz++++=EXTRAWORD
For ^in++++=For
something ^pn++++=something
shorter ^jjr++++=shorter,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
could ^md+pos+++=could
hike ^vb+++??+=hike
the ^ati++++=the
Elden ^np+++??+=Elden
Lookout ^nn++++=Lookout
trail ^nn++++=trail
on ^rp++++=on
Mount ^vb++++=Mount
Elden ^np+++??+=Elden
and ^cc++++=and
get ^vb++++=get
great ^jj+atrb+++=great
views ^nns++++=views
of ^in++++=of
the ^ati++++=the
volcano ^nn++++=volcano
fields ^nns++++=fields
to ^in++++=to
the ^ati++++=the
east ^nr+pl+++=east
of ^in++++=of
town ^nn++++=town.
. ^zz++++=EXTRAWORD
Another ^ppls++++=Another
great ^jj+atrb+++=great
hike ^nn+++??+=hike
that ^tht+rel+subj++=that
gets ^vbz++++=gets
you ^pp2+pp2+++=you
away ^rp+pl+++=away
into ^in++++=into
nature ^nn++++=nature
is ^vbz+bez+vrb++=is
the ^ati++++=the
Bear ^nn++++=Bear
Jaw ^nn++++=Jaw/Abineau
loop ^nn++++=loop.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
also ^rb++++=also
a ^at++++=a
more ^rbr++++=more
difficult ^jj+atrb+++=difficult
trail ^nn++++=trail,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
north ^np+pl+++=north
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
moutnains ^nns+++??+=moutnains
and ^cc++++=and
even ^rb++++=even
in ^in++++=in
June ^nr++++=June
there ^ex+pex+++=there
can ^md+pos+++=can
be ^vb+be+vrb++=be
