The ^ati++++=The
Grand ^jj+atrb+++=Grand
Canyon ^nn++++=Canyon
is ^vbz+bez+aux++=is
what ^wdt+who+++=what
brings ^vbz++++=brings
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
visitors ^nns++++=visitors
to ^in++++=to
Flagstaff ^np+++??+=Flagstaff.
. ^zz++++=EXTRAWORD
Brix ^np+++??+=Brix
restaurant ^nn+nom+++=restaurant
is ^vbz+bez+vrb++=is
on ^in++++=on
North ^nr+pl+++=North
San ^np++++=San
Francisco ^np++++=Francisco
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
about ^in++++=about
three ^cd++++=three
blocks ^nns++++=blocks
north ^np+pl+++=north
of ^in++++=of
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah
this ^dt+pdem+++=this
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
nice ^jj+atrb+++=nice
trip ^nn++++=trip
you ^pp2+pp2+++=you
would ^md+prd+++=would
leave ^vb++++=leave
Flagstaff ^np+++??+=Flagstaff
at ^in++++=at
8:57 ^cd++++=8:57
and ^cc++++=and
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
an ^at++++=an
over ^in++++=over
night ^nn++++=night
train ^nn++++=train
to ^in++++=to
Los ^np+++??+=Los
Angles ^nns++++=Angles
where ^wrb+who+++=where
you ^pp2+pp2+++=you
would ^md+prd+++=would
transfer ^nn+nom+++=transfer
trains ^nns++++=trains
and ^cc++++=and
head ^jjb++++=head
to ^to++++=to
santa ^&fw++++=Santa
barbra ^np++++=Barbra.
. ^zz++++=EXTRAWORD
