Hello ^rb+dspt+++=Hello
It ^pp3+it+++=It
would ^md+prd+++=would
probably ^rb++++=probably
not ^xnot++not++=not
be ^vb+be+vrb++=be
a ^at++++=a
good ^jj+atrb+++=good
place ^nn++++=place
to ^to++++=to
go ^vbi++++=go
for ^in+ppvb+++=for
someone ^pn++++=someone
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
claustrophobic ^jj+pred+++=claustrophobic
as ^ql++++=as
the ^ati++++=the
canyon ^nn++++=canyon
walls ^nns++++=walls
are ^vb+ber+vrb++=are
really ^rb+emph+++=really
narrow ^jj+pred+++=narrow
and ^cc++++=and
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot
leave ^vb++++=leave
on ^in++++=on
your ^pp$+pp2+++=your
own ^ap++++=own
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
get ^vb++++=get
uncomfortable ^jj++++=uncomfortable
you ^pp2+pp2+++=you
must ^md+nec+++=must
stay ^vb++++=stay
with ^in++++=with
your ^pp$+pp2+++=your
guide ^nn++++=guide.
. ^zz++++=EXTRAWORD
