Hello ^rb+dspt+++=Hello
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
name ^nn++++=name
is ^vbz+bez+vrb++=is
< ^zz++++=<Tour
tour ^nn++++=EXTRAWORD
Guide ^vb++++=Guide
A ^at++++=A>.
> ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you
with ^in++++=with
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
kinds ^nns++++=kinds
of ^in++++=of
things ^nns++++=things
do ^vb+do+aux++=do
they ^pp3a+pp3+++=they
like ^vb++++=like
to ^to+vcmp+++=to
do ^vbi++++=do?
? ^zz++++=EXTRAWORD
Buffalo ^np+++??+=Buffalo
Park ^nn++++=Park
is ^vbz+bez+vrb++=is
always ^rb++++=always
a ^at++++=a
great ^jj+atrb+++=great
option ^nn++++=option
for ^in++++=for
smaller ^jjr+atrb+++=smaller
excursions ^nns++++=excursions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
trails ^nns++++=trails
are ^vb+ber+vrb++=are
easy ^jj+pred+++=easy
for ^in++++=for
little ^ap++++=little
ones ^pn++++=ones.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
also ^rb++++=also
the ^ati++++=the
scenic ^jj+atrb+++=scenic
chairlift ^nn+++??+=chairlift
at ^in++++=at
the ^ati++++=the
Arizona ^np++++=Arizona
Snowbowl ^np+++??+=Snowbowl
that ^tht+rel+++=that
all ^abn++++=all
ages ^nns++++=ages
can ^md+pos+++=can
enjoy ^vb++++=enjoy.
. ^zz++++=EXTRAWORD
One ^cd++++=One
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me
read ^vbd+vprv++xvbn+=read
through ^in++++=through
the ^ati++++=the
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
Ok ^rb+dspt+++=Ok,
, ^zz++++=EXTRAWORD
so ^ql++++=so
for ^in++++=for
August ^nr++++=August
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
chance ^nn++++=chance
of ^in++++=of
monsoons ^nns+++??+=monsoons
but ^cc+cls+++=but
otherwise ^rb+cnj+++=otherwise
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
always ^rb++++=always
lovely ^jj+pred+++=lovely
to ^to++++=to
go ^vbi++++=go
outdoors ^nns+pl+++=outdoors
and ^cc++++=and
hike ^nn+++??+=hike
and ^cc++++=and
mountain ^nn++++=mountain
bike ^nn++++=bike.
. ^zz++++=EXTRAWORD
Grand ^jj+atrb+++=Grand
Canyon ^np+++??+=Canyon
is ^vbz+bez+vrb++=is
open ^jj+atrb+++=open
year ^nn++++=year-round,
- ^zz++++=EXTRAWORD
round ^rp++++=EXTRAWORD
, ^zz++++=EXTRAWORD
except ^in++++=except
for ^in"++++=for
government ^nn+nom+++=government
shut ^vbd+++xvbn+=shut
downs ^npls++++=downs,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
issues ^nns++++=issues
with ^in++++=with
in ^in++++=in
the ^ati++++=the
past ^nn++++=past.
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
is ^vbz+bez+vrb++=is
close ^rb++++=close
the ^ati++++=the
road ^nn++++=road
to ^in++++=to
the ^ati++++=the
desert ^nn++++=desert
view ^nn++++=view
watchtower ^jjr++++=watchtower
for ^in++++=for
wintery ^nn+nom+++=wintery
road ^nn++++=road
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
Winter ^np++++=Winter
is ^vbz+bez+vrb++=is
actually ^rb+amp+++=actually
a ^at++++=a
great ^jj+atrb+++=great
time ^nn++++=time
of ^in++++=of
year ^nn++++=year
to ^to++++=to
go ^vbi++++=go
to ^in++++=to
the ^ati++++=the
Canyon ^np+++??+=Canyon,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
