Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help?
? ^zz++++=EXTRAWORD
Lowell ^np+++??+=Lowell
Observatory ^np+++??+=Observatory
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
popular ^jj++++=popular,
, ^zz++++=EXTRAWORD
as ^in++++=as
are ^vb+ber+vrb++=are
the ^ati++++=the
three ^cd++++=three
national ^jj+atrb+++=national
monuments ^nns+nom+++=monuments
in ^in++++=in
the ^ati++++=the
area ^nn++++=area
( ^zz++++=(Walnut
walnut ^nn++++=EXTRAWORD
Canyon ^np+++??+=Canyon,
, ^zz++++=EXTRAWORD
Sunset ^nn++++=Sunset
Crater ^np+++??+=Crater,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Wupatki ^np+++??+=Wupatki).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Museum ^nn++++=Museum
of ^in++++=of
Northern ^np++++=Northern
Arizona ^np++++=Arizona
is ^vbz+bez+aux++=is
well ^rb++++=well
known ^vprf+++xvbn+=known
for ^in++++=for
its ^pp$+it+++=its
Native ^jj+atrb+++=Native
American ^jj+atrb+++=American
cultural ^jj+atrb+++=cultural
artifacts ^nns+++??+=artifacts.
. ^zz++++=EXTRAWORD
Walnut ^nn++++=Walnut
Canyon ^np+++??+=Canyon
is ^vbz+bez+vrb++=is
the ^ati++++=the
next ^ap++++=next
exit ^nn++++=exit
outside ^in+cmpx+++=outside
of ^in"++++=of
town ^npl++++=town
on ^rp++++=on
40 ^cd++++=40
East ^nr+pl+++=East.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
15 ^cd++++=15
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
Sunset ^nn++++=Sunset
Crater ^np+++??+=Crater
is ^vbz+bez+vrb++=is
19 ^cd++++=19
miles ^nns++++=miles
outside ^in+cmpx+++=outside
of ^in"++++=of
town ^npl++++=town
on ^rp++++=on
89 ^cd++++=89
N ^zz++++=N.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
a ^ap++++=a
few ^ap"++++=few
rim ^nn++++=rim
trails ^nns++++=trails
around ^in++++=around
the ^ati++++=the
monument ^nn+nom+++=monument.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
ask ^vb++++=ask
for ^in+ppvb+++=for
the ^ati++++=the
Area ^nn++++=Area
Monuments ^nns+nom+++=Monuments
newspaper ^nn+nom+++=newspaper
behind ^in+pl+++=behind
the ^ati++++=the
desk ^nn++++=desk
at ^in++++=at
the ^ati++++=the
Visitor ^np++++=Visitor's
's ^$++++=EXTRAWORD
Center ^np+++??+=Center
for ^in++++=for
more ^ql++++=more
specifics ^nns++++=specifics.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
confirm ^vb+vpub+++=confirm
that ^tht+vcmp+++=that
information ^nn+nom+++=information
on ^in++++=on
their ^pp$+pp3+++=their
website ^nn++++=website,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
typically ^rb++++=typically
most ^ql+emph+++=most
monuments ^nns+nom+++=Monuments
have ^vb+hv+vrb++=have
a ^ap++++=a
few ^ap"++++=few
rv ^np++++=RV
parking ^nn++++=parking
spaces ^nns++++=spaces.
. ^zz++++=EXTRAWORD
