Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
Aaa ^np+++??+=AAA
office ^nn++++=office
in ^in++++=in
Flagstaff ^np+++??+=Flagstaff
( ^zz++++=(the
the ^ati++++=EXTRAWORD
closest ^jjt++++=closest
is ^vbz+bez+vrb++=is
Prescott ^np+++??+=Prescott).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
maps ^nns++++=maps
and ^cc++++=and
information ^nn+nom+++=information
within ^in++++=within
the ^ati++++=the
visitor ^nn++++=visitor's
's ^vbz+bez+vrb++0=EXTRAWORD
center ^jjr++++=center
that ^dt+pdem+++=that
would ^md+prd+++=would
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
help ^vb++++=help
with ^in++++=with
trip ^nn++++=trip
planning ^vwbg+++xvbg+=planning.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
purchase ^vbi++++=purchase
a ^at++++=a
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
the ^ati++++=the
closest ^jjt++++=closest
realtor ^np++++=realtor
is ^vbz+bez+vrb++=is
da ^&fw++++=da
Vinci ^np++++=Vinci
at ^in++++=at
111 ^cd++++=111
E ^zz++++=E
Aspen ^np+++??+=Aspen
Ave ^np+++??+=Ave
# ^zz++++=#3
3 ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
maps ^nns++++=maps
are ^vb+ber+vrb++=are
inside ^in+pl+++=inside
at ^in++++=at
the ^ati++++=the
visitor ^nn++++=visitor's
's ^vbz+bez+vrb++0=EXTRAWORD
center ^jjr++++=center.
. ^zz++++=EXTRAWORD
Ask ^vb++++=Ask
for ^in+ppvb+++=for
both ^abx++++=both
a ^at++++=a
Discovery ^nn+nom+++=Discovery
Map ^nn++++=Map
and ^cc++++=and
a ^at++++=a
Destination ^nn+nom+++=Destination
Map ^nn++++=Map
 ^zz++++=(which
Which ^whp+np+++=EXTRAWORD
Includes ^vb++++=includes
Every ^at++++=every
Street ^npl++++=street
In ^rp++++=in
Flagstaff ^np++++=Flagstaff)
	 ^zz++++=EXTRAWORD
