Hello ^rb+dspt+++=Hello
How ^wrb+who+++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
go ^vb++++=go
to ^in++++=to
Williams ^np++++=Williams
but ^cc++++=but
you ^pp2+pp2+++=you
can ^md+pos+++=can
take ^vb++++=take
Arizona ^np++++=Arizona
Shuttle ^nn++++=Shuttle
To ^to++++=to
Get ^vbi++++=get
There ^rn+pl+++=there
If ^cs+cnd+++=if
You ^pp2+pp2+++=you
Need ^vb++++=need
Transportation ^nn+nom+++=transportation.
 ^zz++++=EXTRAWORD
