Hello ^rb+dspt+++=Hello
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
that ^tht+vcmp+++=that
3 ^zz++++=3
days ^nns++++=days
is ^vbz+bez+vrb++=is
enough ^dt++++=enough
time ^nn++++=time
to ^in++++=to
have ^vbi++vrb++=have
a ^at++++=a
good ^jj+atrb+++=good
overview ^nn+++??+=overview
of ^in++++=of
Flagstaff ^np+++??+=Flagstaff
and ^cc++++=and
Sedona ^np+++??+=Sedona?
? ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah
You ^pp2+pp2+++=You
can ^md+pos+++=can
spend ^vb++++=spend
one ^cd++++=one
day ^nn++++=day
in ^in++++=in
Sedona ^np+++??+=Sedona
and ^cc++++=and
two ^cd++++=two
days ^nns++++=days
in ^in++++=in
Flagstaff ^np+++??+=Flagstaff
and ^cc++++=and
get ^vb++++=get
a ^at++++=a
good ^jj+atrb+++=good
Overview ^np+++??+=Overview
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
planning ^vbg+++xvbgx+=planning
to ^to+vcmp+++=to
visit ^vbi++++=visit
Grand ^jj+atrb+++=Grand
Canyon ^np+++??+=Canyon
I ^pp1a+pp1+++=I
Would ^md+prd+++=Would
add ^vb+vpub+++=add
one ^cd++++=one
more ^ql++++=more
day ^nn++++=day
to ^in++++=to
you ^pp2+pp2+++=you
itinerary ^nn+nom+++=itinerary
if ^cs+cnd+++=if
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
Are ^vb+ber+aux++=Are
you ^pp2+pp2+++=you
interests ^nns++++=interests?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
some ^dti++++=some
great ^jj+atrb+++=great
hikes ^nns+++??+=hikes
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
San ^np++++=San
Francisco ^np++++=Francisco
Peaks ^nns++++=Peaks
such ^abl++++=such
as ^ql++++=as
The ^ati++++=The
Aspen ^np+++??+=Aspen
Nature ^nn++++=Nature
Loop ^nn++++=Loop,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
The ^ati++++=The
Kachina ^np+++??+=Kachina
Trail ^nn++++=Trail.
. ^zz++++=EXTRAWORD
For ^in++++=For
Parks ^nns++++=Parks
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
three ^cd++++=three
National ^jj+atrb+++=National
Monuments ^nns+nom+++=Monuments
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
great ^jj+atrb+++=great
places ^nns++++=places
to ^to++++=to
visit ^vbi++++=visit
Sunset ^nn++++=Sunset
Crater ^np+++??+=Crater,
, ^zz++++=EXTRAWORD
Walnut ^nn++++=Walnut
Canyon ^np+++??+=Canyon
and ^cc++++=and
Wupataki ^np+++??+=Wupataki.
. ^zz++++=EXTRAWORD
Kachina ^np+++??+=Kachina
Trail ^nn++++=Trail
is ^vbz+bez+vrb++=is
5 ^zz++++=5
miles ^nns++++=miles
each ^ppls++++=each
way ^nn++++=way
and ^cc++++=and
the ^ati++++=the
Aspen ^np+++??+=Aspen
Nature ^nn++++=Nature
Loop ^nn++++=Loop
is ^vbz+bez+vrb++=is
2.5 ^cd++++=2.5
miles ^nns++++=miles
so ^ql++++=so
it ^pp3+it+++=it
would ^md+prd+++=would
depend ^vb++++=depend
on ^in++++=on
how ^wrb+who+++=how
long ^jj++++=long
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
hike ^vbi+++??+=hike
both ^abx++++=both
have ^vb+hv+vrb++=have
great ^jj+atrb+++=great
views ^nns++++=views
and ^cc++++=and
nice ^jj+atrb+++=nice
aspen ^np++++=Aspen
stands ^vbz++++=stands
to ^to+vcmp+++=to
walk ^vb++++=walk
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
