Hello ^rb+dspt+++=Hello
let ^vbd+++xvbn+=let
me ^pp1o+pp1+++=me
know ^vb+vprv+++=know
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
need ^vb++++=need
anything ^pn++++=anything
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Warner ^np++++=Warner
Bros ^np+++??+=Bros.
. ^zz++++=EXTRAWORD
Studio ^np++++=Studio
Tour ^nn++++=Tour
for ^in++++=for
classic ^jj+atrb+++=classic
films ^nns++++=films
is ^vbz+bez+aux++=is
offered ^vpsv++agls+xvbnx+=offered
on ^in++++=on
Thursday ^nr++++=Thursday-Sunday
- ^zz++++=EXTRAWORD
sunday ^nr++++=EXTRAWORD
only ^rb+down+++=only
in ^in++++=in
Burbank ^np+++??+=Burbank,
 ^zz++++=EXTRAWORD
Ca ^np++++=CA.
 ^zz++++=EXTRAWORD
Tickets ^nns++++=Tickets
Must ^md+nec+++=must
Be ^vb+be+aux++=be
Booked ^vprf+++xvbn+=booked
Online ^nn++++=online.
 ^zz++++=EXTRAWORD
