How ^wrb+who+++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
The ^ati++++=The
only ^ap+down+++=only
tent ^nn++++=tent
only ^ap+down+++=only
campgrounds ^vbz+++??+=campgrounds
in ^in++++=in
Northern ^jj+atrb+++=Northern
Arizona ^np++++=Arizona
is ^vbz+bez+vrb++=is
Manzinita ^np+++??+=Manzinita
Campground ^np+++??+=Campground
in ^in++++=in
Oak ^nn++++=Oak
Creek ^nn++++=Creek
Canyon ^np+++??+=Canyon
between ^in++++=between
her ^pp3o+pp3+++=her
and ^cc++++=and
Sedona ^np+++??+=Sedona,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
some ^dti++++=some
great ^jj+atrb+++=great
National ^jj+atrb+++=National
Forest ^nn++++=Forest
campgrounds ^nns+++??+=campgrounds
up ^rp++++=up
here ^rn+pl+++=here
as ^rb++++=as
well ^rb++++=well
that ^dt+pdem+++=that
would ^md+prd+++=would
allow ^vb++++=allow
Rvs ^np+++??+=RVs
just ^rb+emph+++=just
no ^uh++++=no
hookups ^nns+++??+=hookups
Bonito ^np+++??+=Bonito
Campground ^np+++??+=Campground
near ^in+pl+++=near
Sunset ^nn++++=Sunset
Crater ^np+++??+=Crater
is ^vbz+bez+vrb++=is
nice ^jj+pred+++=nice
and ^cc++++=and
so ^rb++++=so
is ^vbz+bez+vrb++=is
Canyon ^np+++??+=Canyon
Vista ^np++++=Vista
Campground ^np++++=Campground
On ^rp++++=on
Lake ^npl++++=lake
Mary ^np++++=Mary
Rd ^npl++++=Rd.
 ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=your
Welceom ^nn++++=welceom
