it ^pp3+it+++=it
depends ^vbz++++=depends
which ^whp+who+++=which
canyon ^nn++++=canyon
where ^wrb+who+++=where
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
asking ^jj+++xvbg+=asking
about ^rb++++=about?
? ^zz++++=EXTRAWORD
Grand ^jj+atrb+++=Grand
Canyon ^np+++??+=Canyon
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
allowed ^vpsv++agls+xvbnx+=allowed
on ^in++++=on
the ^ati++++=the
rim ^nn++++=rim
but ^cc++++=but
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
Canyon ^np+++??+=Canyon,
, ^zz++++=EXTRAWORD
Oak ^nn++++=Oak
Creek ^nn++++=Creek
canyon ^nn++++=canyon
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
allowed ^vpsv++agls+xvbnx+=allowed
Walnut ^nn++++=Walnut
Canyon ^np+++??+=Canyon
and ^cc++++=and
antelope ^nn++++=antelope
canyon ^np++++=Canyon
do ^vb+do+aux++=do
not ^xnot++not++=not
allow ^vb++++=allow
dogs ^nns++++=dogs.
. ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
welcome ^nn++++=welcome
