Hello ^rb+dspt+++=Hello
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
name ^nn++++=name
is ^vbz+bez+vrb++=is
< ^zz++++=<Tour
tour ^nn++++=EXTRAWORD
Guide ^vb++++=Guide
A ^at++++=A>,
> ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Absolutely ^rb+amp+++=Absolutely!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
kinds ^nns++++=kinds
of ^in++++=of
things ^nns++++=things
do ^vb+do+aux++=do
they ^pp3a+pp3+++=they
like ^vb++++=like
to ^to+vcmp+++=to
do ^vbi++++=do,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
the ^ati++++=the
age ^nn++++=age
range ^nn++++=range
of ^in++++=of
the ^ati++++=the
group ^nn++++=group?
? ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
so ^ql++++=so
a ^at++++=a
pretty ^rb++++=pretty
wide ^jj+atrb+++=wide
range ^nn++++=range.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
they ^pp3a+pp3+++=they
would ^md+prd+++=would
be ^vb+be+aux++=be
interested ^vpsv++agls+xvbnx+=interested
in ^in++++=in
museums ^nns++++=museums,
, ^zz++++=EXTRAWORD
outdoors ^nns+pl+++=outdoors,
, ^zz++++=EXTRAWORD
local ^jj+atrb+++=local
attractions ^nns+nom+++=attractions,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc?
? ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
they ^pp3a+pp3+++=they
be ^vb+be+aux++=be
interested ^vpsv++agls+xvbnx+=interested
in ^in++++=in
a ^at++++=a
scenic ^jj+atrb+++=scenic
drive ^nn++++=drive?
? ^zz++++=EXTRAWORD
The ^ati++++=The
loop ^nn++++=loop
road ^nn++++=road
up ^rp++++=up
at ^in++++=at
Sunset ^nn++++=Sunset
Crater ^np+++??+=Crater
and ^cc++++=and
Wupatki ^np+++??+=Wupatki
national ^jj+atrb+++=national
monuments ^nns+nom+++=monuments
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
perfect ^jj+atrb+++=perfect
place ^nn++++=place
to ^to++++=to
visit ^vbi++++=visit
to ^to++++=to
still ^rb++++=still
take ^vb++++=take
in ^rb+phrv+++=in
the ^ati++++=the
sights ^nns++++=sights
but ^cc++++=but
without ^in++++=without
any ^dt++++=any
hiking ^nn++++=hiking.
. ^zz++++=EXTRAWORD
Absolutely ^rb+amp+++=Absolutely.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
loop ^nn++++=loop
road ^nn++++=road
would ^md+prd+++=would
be ^vb+be+vrb++=be
perfect ^jj+pred+++=perfect
for ^cs+sub+++=for
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
depending ^vbg+++xvbg+=depending
on ^in++++=on
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
visit ^nn++++=visit
you ^pp2+pp2+++=you
could ^md+pos+++=could
also ^rb++splt++=also
take ^vb++++=take
them ^pp3o+pp3+++=them
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
Arizona ^np++++=Arizona
Snowbowl ^np+++??+=Snowbowl
for ^in++++=for
the ^ati++++=the
scenic ^jj+atrb+++=scenic
chairlift ^nn+++??+=chairlift
ride ^vb++++=ride.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
brings ^vbz++++=brings
you ^pp2+pp2+++=you
up ^rp++++=up
to ^to++++=to
about ^in++++=about
11,500ft ^cd++++=11,500ft
and ^cc++++=and
you ^pp2+pp2+++=you
can ^md+pos+++=can
see ^vb+vprv+++=see
the ^ati++++=the
Grand ^jj+atrb+++=Grand
Canyon ^np+++??+=Canyon
in ^in++++=in
the ^ati++++=the
distance ^nn+nom+++=distance
from ^in++++=from
the ^ati++++=the
top ^nn++++=top.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
