Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
recommend ^vb+vsua+++=recommend
going ^vbg+++xvbg+=going
in ^in++++=in
to ^to++++=to
talk ^vbi++++=talk
to ^in++++=to
the ^ati++++=the
bakers ^nns++++=bakers
at ^in++++=at
Macy ^np++++=Macy's
's ^$++++=EXTRAWORD
European ^jj+atrb+++=European
Coffee ^nn++++=Coffee
Shop ^nn++++=Shop
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
make ^vb++++=make
delicious ^jj+atrb+++=delicious
custom ^nn++++=custom
cakes ^nns++++=cakes.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
need ^vb++++=need
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
days ^nns++++=days'
' ^zz++++=EXTRAWORD
lead ^nn++++=lead
time ^nn++++=time
to ^to++++=to
be ^vbi++vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
put ^vb+++xvbn+=put
custom ^nn++++=custom
orders ^nns++++=orders
on ^in++++=on
the ^ati++++=the
schedule ^nn++++=schedule.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
that ^dt+pdem+++=that
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
work ^vb++++=work,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
of ^in+emph+++=of
course ^nn+emph"+++=course
the ^ati++++=the
bakeries ^nns+nom+++=bakeries
in ^in++++=in
Fry ^nns++++=Fry's,
's, ^nn+++??+=EXTRAWORD
Safeway ^np+++??+=Safeway,
, ^zz++++=EXTRAWORD
and ^rb++++=and
so ^rb"++++=so
on ^rb"++++=on,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
find ^vb+vprv+++=find
local ^jj+atrb+++=local
bakeries ^nns+nom+++=bakeries
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
bit ^nn++++=bit
better ^rbr++++=better.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
remember ^nn+nom+++=remember
offhand ^jj++++=offhand
how ^wrb+who+++=how
much ^rb++++=much
I ^pp1a+pp1+++=I
paid ^vbd+++xvbnx+=paid
for ^in++++=for
a ^at++++=a
half ^nn++++=half
sheet ^nn++++=sheet
cake ^nn++++=cake
last ^jj+atrb+++=last
time ^nn++++=time
I ^pp1a+pp1+++=I
ordered ^vbd+vsua++xvbnx+=ordered.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
give ^vb++++=give
them ^pp3o+pp3+++=them
a ^at++++=a
call ^nn++++=call.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
number ^nn++++=number
is ^vbz+bez+vrb++=is
( ^zz++++=(928)
928 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
774 ^cd++++=774-2243
- ^zz++++=EXTRAWORD
2243 ^cd++++=EXTRAWORD
you ^pp2+pp2+++=You're
are ^vb+ber+vrb++=EXTRAWORD
very ^ql+amp+++=very
welcome ^nn++++=welcome!
! ^zz++++=EXTRAWORD
