The ^ati++++=The
Sweet ^jj+atrb+++=Sweet
Shoppe ^np+++??+=Shoppe
on ^in++++=on
Aspen ^np+++??+=Aspen
Ave ^np+++??+=Ave.
. ^zz++++=EXTRAWORD
in ^in++++=in
walking ^xvbg+++xvbg+=walking
distance ^nn+nom+++=distance
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
cannot ^md+pos+not++=cannot
leave ^vb++++=leave
it ^pp3+it+++=it
in ^in++++=in
15 ^cd++++=15
minute ^jj++++=minute
parking ^jj+++xvbg+=parking
for ^in++++=for
an ^at++++=an
extended ^jj+atrb++xvbn+=extended
period ^nn++++=period
of ^in++++=of
time ^nn++++=time.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
Amtrak ^np+++??+=Amtrak
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
building ^nvbg+++xvbg+=building,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
a ^at++++=a
paid ^xvbn+++xvbn+=paid
parking ^nvbg+++xvbg+=parking
lot ^nn++++=lot.
. ^zz++++=EXTRAWORD
$ ^zz++++=$1
1 ^zz++++=EXTRAWORD
per ^nnu++++=per
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
the ^ati++++=the
kiosk ^nn++++=kiosk
is ^vbz+bez+vrb++=is
by ^in++++=by
the ^ati++++=the
green ^jj+atrb+++=green
dumpster ^nn+nom+++=dumpster.
. ^zz++++=EXTRAWORD
Pay ^vb++++=Pay
by ^in++++=by
credit ^nn++++=credit
card ^nn++++=card
and ^cc++++=and
enter ^vb++++=enter
your ^pp$+pp2+++=your
license ^nn+++??+=license
plate ^nn++++=plate
# ^zz++++=#
You ^pp2+pp2+++=You
can ^md+pos+++=can
pay ^vb++++=pay
by ^in++++=by
cash ^nn++++=cash
at ^in++++=at
the ^ati++++=the
Park ^nn++++=Park
Flag ^nn++++=Flag
office ^nn++++=office
on ^in++++=on
Beaver ^np+++??+=Beaver
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
( ^zz++++=(above
above ^in+pl+++=EXTRAWORD
Aspen ^np+++??+=Aspen).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
probably ^rb++++=probably
be ^vb+be+vrb++=be
fine ^jj+pred+++=fine
to ^to++++=to
walk ^vbi++++=walk
to ^in++++=to
that ^dt+dem+++=that
while ^cs+sub+++=while
in ^in++++=in
15 ^cd++++=15
minute ^jj+atrb+++=minute
parking ^nn++++=parking.
. ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=They
are ^vb+ber+aux++=are
closing ^vbg+++xvbg+=closing
soon ^rb+tm+++=soon.
. ^zz++++=EXTRAWORD
