Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
Upper ^jjb++++=Upper
Antelope ^np+++??+=Antelope
Canyon ^np+++??+=Canyon
tours ^nns++++=tours
do ^vb+do+aux++=do
not ^xnot++not++=not
have ^vb+hv+vrb++=have
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
do ^vb+do+aux++=do
take ^vb++++=take
you ^pp2+pp2+++=you
to ^in++++=to
the ^ati++++=the
location ^nn+nom+++=location
on ^in++++=on
a ^at++++=a
Jeep ^nn++++=Jeep
Tour ^nn++++=Tour,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
once ^rb+tm+++=once
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
there ^rn+pl+++=there
you ^pp2+pp2+++=you
can ^md+pos+++=can
walk ^vb++++=walk
through ^in++++=through
with ^in++++=with
the ^ati++++=the
guide ^nn++++=guide
without ^in++++=without
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
Lower ^jjr++++=Lower
Antelope ^np+++??+=Antelope
does ^vbz+doz+aux++=does
have ^vb+hv+vrb++=have
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
typically ^rb++++=typically
about ^in++++=about
$ ^zz++++=$60
60 ^cd++++=EXTRAWORD
for ^in++++=for
Upper ^jjb++++=Upper
Antelope ^np+++??+=Antelope.
. ^zz++++=EXTRAWORD
Inside ^in+pl+++=Inside
the ^ati++++=the
Visitor ^np++++=Visitor's
's ^$++++=EXTRAWORD
Center ^np+++??+=Center
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
a ^at++++=a
full ^nn++++=full
listing ^vwbg+++xvbg+=listing
of ^in++++=of
the ^ati++++=the
antelope ^np++++=Antelope
canyon ^np++++=Canyon
tours ^nns++++=tours
behind ^in+pl+++=behind
the ^ati++++=the
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
