Hello ^rb+dspt+++=Hello
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
sports ^nns++++=sports
bars ^nns++++=bars
and ^cc++++=and
restaurants ^nns+nom+++=restaurants
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
recommend ^vb+vsua+++=recommend
trying ^vbg+++xvbg+=trying
Majerle ^np++++=Majerle's
's ^vbz+bez+vrb++0=EXTRAWORD
on ^in++++=on
Route ^nn++++=Route
66 ^cd++++=66/San
Francisco ^np++++=Francisco
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
Charly ^np++++=Charly's
's ^$++++=EXTRAWORD
Pub ^nn++++=Pub
& ^zz++++=&
Grill ^nn++++=Grill,
, ^zz++++=EXTRAWORD
Collins ^np++++=Collins
Irish ^jj+atrb+++=Irish
Pub ^nn++++=Pub,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
The ^ati++++=The
Market ^nn++++=Market
would ^md+prd+++=would
also ^rb++++=also
likely ^jj++++=likely
have ^vb+hv+vrb++=have
the ^ati++++=the
match ^nn++++=match
on.(england ^nn+++??+=on.(England
scored ^vbd+++xvbn+=scored
already ^rb++++=already
in ^in++++=in
the ^ati++++=the
first ^rb++++=first
5 ^zz++++=5
minutes ^nns++++=minutes!)
! ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
It ^pp3+it+++=It'll
'll ^md+prd+++0=EXTRAWORD
definitely ^rb++++=definitely
be ^vb+be+vrb++=be
an ^at++++=an
interesting ^jj+atrb+++=interesting
game ^nn++++=game!
! ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
any ^dti++++=any
other ^ap++++=other
questions ^nns+nom+++=questions?
? ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
The ^ati++++=The
Garden ^nn++++=Garden
Thrift ^nn++++=Thrift
just ^rb+emph+++=just
south ^np+pl+++=south
of ^in++++=of
the ^ati++++=the
tracks ^nns++++=tracks
on ^in++++=on
Beaver ^np+++??+=Beaver
Street ^nn++++=Street/Phoenix
Ave ^np+++??+=Ave.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
other ^ap++++=other
thrift ^nn++++=thrift
stores ^nns++++=stores
in ^in++++=in
driving ^nn++++=driving
distance ^nn+nom+++=distance
as ^rb++++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
