Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
doing ^vbg+++xvbg+=doing
all ^rb++++=all
three ^cd++++=three
of ^in++++=of
those ^dt+dem+++=those
in ^in++++=in
would ^md+prd+++=would
day ^vb++++=day
could ^md+pos+++=could
be ^vb+be+vrb++=be
doable ^jj+pred+++=doable.
. ^zz++++=EXTRAWORD
Dinosaur ^np+++??+=Dinosaur
Tracks ^nns++++=Tracks
is ^vbz+bez+vrb++=is
in ^in++++=in
Tuba ^np+++??+=Tuba
City ^nn++++=City,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
would ^md+prd+++=would
recommend ^vb+vsua+++=recommend
starting ^vbg+++xvbg+=starting
there ^rn+pl+++=there
and ^cc++++=and
making ^vbg+++xvbg+=making
your ^pp$+pp2+++=your
way ^nn++++=way
back ^rp++++=back
down ^rp++++=down
to ^in++++=to
Flagstaff ^np+++??+=Flagstaff
as ^ql++++=as
you ^pp2+pp2+++=you
visit ^nn++++=visit
each ^ppls++++=each
location ^nn+nom+++=location.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
recommend ^vb+vsua+++=recommend
planning ^vbg+++xvbg+=planning
at ^rb++++=at
least ^rb"++++=least
1 ^zz++++=1-2
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
hours ^nns++++=hours
at ^in++++=at
each ^ppls++++=each
location ^nn+nom+++=location.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay
in ^in++++=in
total ^jj++++=total,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
looking ^vbg+++xvbgx+=looking
at ^in++++=at
about ^rb++++=about
3 ^zz++++=3
hours ^nns++++=hours
of ^in++++=of
driving ^xvbg+++xvbg+=driving
Sunset ^nn++++=Sunset
and ^cc++++=and
Wupatki ^np+++??+=Wupatki
are ^vb+ber+vrb++=are
along ^in++++=along
the ^ati++++=the
same ^ap++++=same
loop ^nn++++=loop
road ^nn++++=road
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+pred+++=welcome!
! ^zz++++=EXTRAWORD
