Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
want ^vb++++=want
a ^at++++=a
Southwest ^np+++??+=Southwest-style
- ^zz++++=EXTRAWORD
style ^nn++++=EXTRAWORD
breakfast ^nn++++=breakfast
( ^zz++++=(on
on ^in++++=EXTRAWORD
the ^ati++++=the
spicy ^nn+++??+=spicy
side ^nn++++=side)
) ^zz++++=EXTRAWORD
go ^vb++++=go
to ^in++++=to
Martanne ^np++++=Martanne's
's ^$++++=EXTRAWORD
( ^zz++++=(112
112 ^cd++++=EXTRAWORD
Historic ^jj+atrb+++=Historic
Rte ^np+++??+=Rte
66 ^cd++++=66).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
frou ^nn+++??+=frou-frou
- ^zz++++=EXTRAWORD
frou ^nn+++??+=EXTRAWORD
breakfast ^nn++++=breakfast
with ^in++++=with
lots ^nns++++=lots
of ^in++++=of
options ^nns+nom+++=options,
, ^zz++++=EXTRAWORD
Toasted ^np+++??+=Toasted
Owl ^np+++??+=Owl
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good
( ^zz++++=(12
12 ^cd++++=EXTRAWORD
S ^zz++++=S
Mikes ^np+++??+=Mikes
Pike ^nn++++=Pike
St ^npt++++=St).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
tradition ^nn+nom+++=tradition
breakfast ^nn++++=breakfast
with ^in++++=with
big ^jj+atrb+++=big
portions ^nns+nom+++=portions,
, ^zz++++=EXTRAWORD
go ^vb++++=go
to ^in++++=to
Mike ^np++++=Mike
& ^zz++++=&
Ronda ^np++++=Ronda's
's ^$++++=EXTRAWORD
The ^ati++++=The
Place ^nn++++=Place
( ^zz++++=(21
21 ^cd++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Milton ^np++++=Milton).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
say ^vb+vpub+++=say
the ^ati++++=the
Grand ^jj+atrb+++=Grand
Canyon ^nn++++=Canyon,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
iconic ^nn++++=iconic
and ^cc++++=and
on ^in++++=on
many ^ap++++=many
" ^zz++++="bucket
bucket ^nn++++=EXTRAWORD
lists ^nns++++=lists".
" ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Sedona ^np+++??+=Sedona
is ^vbz+bez+vrb++=is
closer ^rbr++++=closer
however ^rb+cnj+++=however
( ^zz++++=(30
30 ^cd++++=EXTRAWORD
minutes ^nns++++=minutes
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
1.5 ^cd++++=1.5
hours ^nns++++=hours),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
so ^ql++++=so
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
pressed ^vpsv++agls+xvbnx+=pressed
for ^in++++=for
time ^nn++++=time,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
the ^ati++++=the
red ^jj+atrb+++=red
rocks ^nns++++=rocks
of ^in++++=of
sedona ^np++++=Sedona
are ^vb+ber+vrb++=are
definitely ^rb++++=definitely
worth ^in++++=worth
seeing ^nn++++=seeing.
. ^zz++++=EXTRAWORD
