Grand ^jj+atrb+++=Grand
Canyon ^np+++??+=Canyon
Adventures ^nns++++=Adventures
has ^vbz+hvz+vrb++=has
one ^pn++++=one.
. ^zz++++=EXTRAWORD
< ^zz++++=<<link>>
< ^zz++++=EXTRAWORD
link ^nn++++=EXTRAWORD
> ^zz++++=EXTRAWORD
> ^zz++++=EXTRAWORD
1.5 ^cd++++=1.5
hour ^nn++++=hour
tour ^nn++++=tour
of ^in++++=of
Antelope ^np+++??+=Antelope
Canyon ^np+++??+=Canyon,
, ^zz++++=EXTRAWORD
lunch ^nn++++=lunch
at ^rb++++=at
Lake ^npl++++=Lake
Powell ^np++++=Powell,
, ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=going
to ^in++++=to
Horseshoe ^np+++??+=Horseshoe
Bend ^nn++++=Bend
and ^cc++++=and
Transportation ^nn+nom+++=Transportation
from ^in++++=from
your ^pp$+pp2+++=your
hotel ^nn++++=hotel
and ^cc++++=and
back ^nn++++=back.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
too ^ql++++=too
much ^ap++++=much.
. ^zz++++=EXTRAWORD
Horseshoe ^np+++??+=Horseshoe
Bend ^nn++++=Bend
is ^vbz+bez+vrb++=is
1.5 ^cd++++=1.5
miles ^nns++++=miles
roundtrip ^nn+++??+=roundtrip.
. ^zz++++=EXTRAWORD
Antelope ^np+++??+=Antelope
Canyon ^np+++??+=Canyon
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
walking ^xvbg+++xvbg+=walking,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
they ^pp3a+pp3+++=they
want ^vb++++=want
to ^to+vcmp+++=to
give ^vbi++++=give
plenty ^rb++++=plenty
of ^in++++=of
time ^nn++++=time
for ^in++++=for
photographs ^nns++++=photographs.
. ^zz++++=EXTRAWORD
