That ^dt+pdem+++=That
depends ^vbz++++=depends
on ^rp++++=on
who ^whp+who+++=who
you ^pp2+pp2+++=you
ask ^vb++++=ask!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
type ^nn++++=type
of ^in++++=of
food ^nn++++=food
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
looking ^vbg+++xvbg+=looking
for ^cs+sub+++=for?
? ^zz++++=EXTRAWORD
Pato ^np+++??+=Pato
and ^cc++++=and
Ewas ^np+++??+=Ewas
have ^vb+hv+vrb++=have
great ^jj+atrb+++=great
Thai ^np+++??+=Thai
Food ^nn++++=Food
you ^pp2+pp2+++=you
can ^md+pos+++=can
visit ^vb++++=visit
historic ^jj++++=historic
downtown ^rn++++=downtown,
, ^zz++++=EXTRAWORD
Arizona ^np++++=Arizona
Snowbowl ^np+++??+=Snowbowl
Museum ^nn++++=Museum
of ^in++++=of
Northern ^np++++=Northern
Arizona ^np++++=Arizona
or ^cc++++=or
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
national ^jj+atrb+++=national
monuments ^nns+nom+++=monuments
nearby ^jjb++++=nearby.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
ride ^vb++++=ride
the ^ati++++=the
Scenic ^np+++??+=Scenic
Chairlift ^np+++??+=Chairlift
that ^tht+rel+obj++=that
i ^pp1a+pp1+++=i
great ^jj++++=great
for ^in++++=for
all ^abn++++=all
ages ^nns++++=ages
the ^ati++++=the
restaurant ^nn+nom+++=restaurant
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good
for ^in++++=for
lunch ^nn++++=lunch
and ^cc++++=and
for ^in++++=for
the ^ati++++=the
teenager ^nn+nom+++=teenager
and ^cc++++=and
possible ^jj++++=possible
the ^ati++++=the
adults ^nns++++=adults
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
tube ^nn++++=tube
slide ^vb++++=slide
and ^cc++++=and
ropes ^nns++++=ropes
course ^rb++++=course.
. ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
welcome ^nn++++=welcome
