How ^wrb+who+++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
No ^at++++=No
to ^in++++=to
park ^nn++++=park
in ^in++++=in
the ^ati++++=the
downtown ^rn++++=downtown
area ^nn++++=area
it ^pp3+it+++=it
costs ^nns++++=costs
$ ^zz++++=$1
1 ^zz++++=EXTRAWORD
per ^in++++=per
hour ^nn++++=hour
for ^in++++=for
free ^jj++++=free
parking ^jj+++xvbg+=parking
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
to ^in++++=to
park ^nn++++=park
and ^cc++++=and
walk ^nn++++=walk
to ^in++++=to
downtown ^rn++++=downtown,
, ^zz++++=EXTRAWORD
from ^in++++=from
either ^dtx++++=either
north ^np+pl+++=north
of ^in++++=of
Cherry ^np++++=Cherry
Ave ^np+++??+=Ave.
. ^zz++++=EXTRAWORD
or ^cc+cls+++=or
West ^np+pl+++=West
of ^in++++=of
Sitgreives ^np+++??+=Sitgreives
St ^npl++++=St.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
some ^dti++++=some
great ^jj+atrb+++=great
National ^jj+atrb+++=National
Monuments ^nns+nom+++=Monuments
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
toddler ^jjr++++=toddler
Friendly ^jj+atrb+++=Friendly
called ^jj+atrb++xvbn+=called
Sunset ^nn++++=Sunset
Crater ^nn++++=Crater
and ^cc++++=and
Wupatki ^np+++??+=Wupatki
, ^zz++++=,
Sunset ^nn++++=Sunset
Crater ^nn++++=Crater
is ^vbz+bez+vrb++=is
an ^at++++=an
extinct ^jj+atrb+++=extinct
volcano ^nn++++=volcano
and ^cc++++=and
and ^cc++++=and
Wuptaki ^np+++??+=Wuptaki
is ^vbz+bez+vrb++=is
ancient ^jj+atrb+++=ancient
ruins ^nns++++=ruins
with ^in++++=with
a ^at++++=a
blow ^nn++++=blow
hole ^nn++++=hole
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
popular ^jj++++=popular
with ^in++++=with
Children ^nns++++=Children.
. ^zz++++=EXTRAWORD
Pioneer ^nn+nom+++=Pioneer
Museum ^nn++++=Museum
is ^vbz+bez+vrb++=is
another ^dt++++=another
good ^jj+atrb+++=good
attraction ^nn+nom+++=attraction
for ^in++++=for
toddlers ^nns+nom+++=toddlers
as ^ql++++=as
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
a ^at++++=a
room ^nn++++=room
called ^vbd+++xvbn+=called
playthings ^nns++++=playthings
of ^in++++=of
the ^ati++++=the
past ^jjb++++=past
and ^cc++++=and
a ^at++++=a
historic ^jj+atrb+++=historic
Train.caboose ^np+++??+=Train.caboose.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
there ^rn+pl+++=there
a ^at++++=a
type ^nn++++=type.
. ^zz++++=EXTRAWORD
For ^in++++=For
local ^jj++++=local
favorite ^jj++++=favorite
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
Lumberyard ^np+++??+=Lumberyard
or ^cc++++=or
Beaver ^np+++??+=Beaver
Street ^nn++++=Street
breweries ^nns+nom+++=breweries,
, ^zz++++=EXTRAWORD
Casa ^np+++??+=Casa
Duarnte ^np+++??+=Duarnte,
, ^zz++++=EXTRAWORD
Fat ^nn++++=Fat
Olives ^nns++++=Olives,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Altitudes ^nns++++=Altitudes
Bar ^nn++++=Bar
And ^cc++++=And
Grill ^nn++++=Grill
to ^in++++=to
name ^nn++++=name
a ^ap++++=a
few ^ap"++++=few.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
by ^in++++=by
shadow ^nn++++=shadow
areas ^nns++++=areas?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
stay ^vb++++=stay
to ^in++++=to
the ^ati++++=the
shaded ^jj+atrb++xvbn+=shaded
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
street ^nn++++=street
there ^ex+pex+++=there
should ^md+nec+++=should
be ^vb+be+vrb++=be
areas ^nns++++=areas
to ^to++++=to
walk ^vbi++++=walk
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
sun ^nn++++=sun
downtown ^rn++++=downtown
or ^cc++++=or
you ^pp2+pp2+++=you
could ^md+pos+++=could
take ^vb++++=take
one ^pn++++=one
of ^in++++=of
our ^pp$+pp1+++=our
urban ^jj+atrb+++=urban
trails ^nns++++=trails
that ^tht+rel+subj++=that
go ^vb++++=go
through ^in++++=through
the ^ati++++=the
woods ^npl++++=woods
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
mars ^np++++=Mars
hill ^nn++++=Hill
trail ^nn++++=trail.
. ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
welcome ^jj+atrb+++=welcome
