Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
interests ^nns++++=interests?
? ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
there ^rn+pl+++=there
any ^dt++++=any
items ^nns++++=items
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
see ^vbi+vprv+++=see?
? ^zz++++=EXTRAWORD
One ^cd++++=One
day ^nn++++=day
could ^md+pos+++=could
be ^vb+be+vrb++=be
hiking ^nn++++=hiking
the ^ati++++=the
San ^np++++=San
Francisco ^np++++=Francisco
peaks ^nns++++=peaks
Humphreys ^np+++??+=Humphreys
is ^vbz+bez+vrb++=is
the ^ati++++=the
highest ^jjt+atrb+++=highest
point ^nn++++=point
in ^in++++=in
Arizona ^np++++=Arizona
and ^cc++++=and
you ^pp2+pp2+++=you
can ^md+pos+++=can
hike ^vb+++??+=hike
to ^in++++=to
the ^ati++++=the
top ^jjb++++=top
or ^cc++++=or
for ^in++++=for
a ^at++++=a
more ^rbr++++=more
mellow ^jj+atrb+++=mellow
trail ^nn++++=trail
the ^ati++++=the
Sunset ^nn++++=Sunset
Trail ^nn++++=Trail
is ^vbz+bez+vrb++=is
nice ^jj+pred+++=nice
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Another ^ppls++++=Another
day ^nn++++=day
could ^md+pos+++=could
be ^vb+be+aux++=be
seeing ^vbg+vprv++xvbgx+=seeing
our ^pp$+pp1+++=our
monuments ^nns+nom+++=monuments
Sunset ^nn++++=Sunset
Crater ^np++++=Crater
And ^cc++++=and
Wuptaki ^np++++=Wuptaki
Are ^vb+ber+vrb++=are
Really ^rb+emph+++=really
Neat ^jj+pred+++=neat
To ^to++++=to
See ^vb+vprv+++=see.
 ^zz++++=EXTRAWORD
