Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Visitor ^nn++++=Visitor
Center ^np+++??+=Center
has ^vbz+hvz+vrb++=has
30 ^cd++++=30
minute ^jj++++=minute
free ^jj++++=free
parking ^jj+++xvbg+=parking
on ^in++++=on
the ^ati++++=the
West ^np+pl+++=West
lot ^nn++++=lot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
monitored ^vpsv++agls+xvbnx+=monitored.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
park ^vb++++=park
on ^rp++++=on
the ^ati++++=the
East ^nr+pl+++=East
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
building ^jj+++xvbg+=building
for ^in++++=for
$ ^zz++++=$1/hour,
1 ^zz++++=EXTRAWORD
and ^cc++++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
kiosk ^nn++++=kiosk
to ^to++++=to
pay ^vbi++++=pay
for ^in++++=for
your ^pp$+pp2+++=your
parking ^nvbg+++xvbg+=parking
on ^in++++=on
the ^ati++++=the
sidewalk ^nn++++=sidewalk
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
building ^jj+++xvbg+=building
and ^cc++++=and
lot ^nn++++=lot.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Old ^jj+atrb+++=Old
Town ^nn++++=Town
Shops ^nns++++=Shops
is ^vbz+bez+vrb++=is
a ^at++++=a
small ^jj+atrb+++=small
indoor ^jjb+atrb+++=indoor
shopping ^jj+++xvbg+=shopping
mall ^np++++=mall
just ^rb+emph+++=just
two ^cd++++=two
blocks ^nns++++=blocks
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
Visitor ^nn++++=Visitor
Center ^np+++??+=Center
and ^cc++++=and
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
good ^jj+atrb+++=good
public ^jj+atrb+++=public
restrooms ^nns+++??+=restrooms.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
located ^vpsv++agls+xvbn+=located
on ^in++++=on
heritage ^nn+nom+++=Heritage
square ^jj++++=Square.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+pred+++=welcome!
! ^zz++++=EXTRAWORD
