Not ^xnot++not++=Not
too ^ql++++=too
much ^ap++++=much
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
Lake ^nn++++=Lake
Mary ^np++++=Mary
but ^cc++++=but
you ^pp2+pp2+++=you
either ^dt++++=either
need ^vb++++=need
you ^pp2+pp2+++=you
own ^ap++++=own
boat ^nn++++=boat
or ^cc++++=or
be ^vb+be+vrb++=be
able ^jj+pred+++=able
to ^to+jcmp+++=to
transport ^vb++++=transport
a ^at++++=a
kayak ^nn+++??+=kayak
or ^cc++++=or
canoe ^nn+++??+=canoe
to ^in++++=to
the ^ati++++=the
lake ^nn++++=lake
yourself ^ppl+pp2+++=yourself
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
rent ^nn++++=rent
one ^pn++++=one.
. ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
welcome ^nn++++=welcome
