hello ^rb+dspt+++=hello
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i'm
'm ^vb+bem+vrb++0=EXTRAWORD
< ^zz++++=<guide1>,
guide1 ^nn+++??+=EXTRAWORD
> ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
absolutely ^rb+amp+++=absolutely!
! ^zz++++=EXTRAWORD
what ^wdt+who+++=what
things ^nns++++=things
do ^vb+do+aux++=do
they ^pp3a+pp3+++=they
like ^vb++++=like
to ^to+vcmp+++=to
do ^vbi++++=do,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
age ^nn++++=age
range ^nn++++=range
? ^zz++++=?
okay ^rb+cnj+++=okay,
, ^zz++++=EXTRAWORD
so ^cs+sub+++=so
a ^at++++=a
pretty ^rb++++=pretty
wide ^jj+atrb+++=wide
range ^nn++++=range.
. ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
they ^pp3a+pp3+++=they
would ^md+prd+++=would
enjoy ^vb++++=enjoy
museums ^nns++++=museums,
, ^zz++++=EXTRAWORD
outdoors ^nns+pl+++=outdoors,
, ^zz++++=EXTRAWORD
local ^jj+atrb+++=local
attractions ^nns+nom+++=attractions,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc?
? ^zz++++=EXTRAWORD
would ^md+prd+++=would
they ^pp3a+pp3+++=they
enjoy ^vb++++=enjoy
a ^at++++=a
scenic ^jj+atrb+++=scenic
drive ^nn++++=drive?
? ^zz++++=EXTRAWORD
the ^ati++++=the
loop ^nn++++=loop
road ^npl++++=road
up ^rp++++=up
at ^in++++=at
Sunsetc ^np+++??+=SunsetC
and ^cc++++=and
wupatki ^jj+atrb++??+=wupatki
national ^jj+atrb+++=national
monuments ^nns+nom+++=monuments
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
place ^nn++++=place
to ^to++++=to
visit ^vbi++++=visit
to ^to++++=to
enjoy ^vbi++++=enjoy
the ^ati++++=the
sights ^nns++++=sights
without ^in++++=without
any ^dti++++=any
hiking ^nn++++=hiking.
. ^zz++++=EXTRAWORD
absolutely ^rb+amp+++=absolutely.
. ^zz++++=EXTRAWORD
that ^dt+dem+++=that
loop ^nn++++=loop
road ^npl++++=road
would ^md+prd+++=would
be ^vb+be+vrb++=be
perfect ^jj+pred+++=perfect,
, ^zz++++=EXTRAWORD
depending ^vbg+++xvbg+=depending
on ^in++++=on
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
visit ^vb++++=visit
you ^pp2+pp2+++=you
could ^md+pos+++=could
take ^vb++++=take
them ^pp3o+pp3+++=them
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
arizona ^np++++=arizona
snowbowl ^nn+++??+=snowbowl
to ^to++++=to
do ^vbi++++=do
the ^ati++++=the
chairlift ^nn+++??+=chairlift
ride ^vb++++=ride.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it
brings ^vbz++++=brings
you ^pp2+pp2+++=you
up ^rp++++=up
to ^to++++=to
about ^rp++++=about
11,500ft ^cd++++=11,500ft.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
see ^vb+vprv+++=see
the ^ati++++=the
Grandc ^np+++??+=GrandC
in ^in++++=in
the ^ati++++=the
distance ^nn+nom+++=distance
from ^in++++=from
the ^ati++++=the
top ^nn++++=top.
. ^zz++++=EXTRAWORD
would ^md+prd+++=would
they ^pp3a+pp3+++=they
like ^vb++++=like
a ^at++++=a
walk ^nn++++=walk
around ^rp++++=around
downtown ^rn++++=downtown?
? ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
a ^at++++=a
historic ^jj+atrb+++=historic
tour ^nn++++=tour
brochure ^nn++++=brochure
at ^in++++=at
our ^pp$+pp1+++=our
visitor ^nn++++=visitor
center ^jjr++++=center.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
