hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
what ^wdt+who+++=what
adventures ^nns++++=adventures
attract ^vb++++=attract
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
the ^ati++++=the
flagstaff ^nn+++??+=flagstaff
extreme ^nn++++=extreme
adventure ^nn++++=adventure
just ^rb+emph+++=just
south ^np+pl+++=south
of ^in++++=of
town ^nn++++=town
at ^in++++=at
fort ^nn++++=fort
tuthill ^nn+++??+=tuthill.
. ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
two ^cd++++=two
courses ^nns++++=courses
available ^jj++++=available,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
is ^vbz+bez+aux++=is
ziplining ^vbg+++xvbgx+=ziplining
and ^cc++++=and
another ^dt++++=another
that ^dt+pdem+++=that
envolves ^vbz+++??+=envolves
climbing ^vwbg+++xvbg+=climbing
and ^cc++++=and
obstacles ^nns++++=obstacles
through ^in++++=through
the ^ati++++=the
trees ^nns++++=trees
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
some ^dti++++=some
ziplines ^nns+++??+=ziplines.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
fun ^nn++++=fun.
. ^zz++++=EXTRAWORD
14 ^cd++++=14
is ^vbz+bez+vrb++=is
old ^jj+pred+++=old
enough ^dt++++=enough
for ^in++++=for
the ^ati++++=the
adult ^nn++++=adult
course ^nn++++=course,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
height ^nn++++=height
restriction ^nn+nom+++=restriction.
. ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me
check ^vb+vprv+++=check
that ^tht+vcmp+++=that
for ^in++++=for
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
okay ^rb+cnj+++=okay,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="they
they ^pp3a+pp3+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
reach ^vb++++=reach
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
their ^pp$+pp3+++=their
palms ^nns++++=palms
to ^in++++=to
a ^at++++=a
height ^nn++++=height
of ^in++++=of
5 ^zz++++=5
11 ^cd++++=11
( ^zz++++=(180
180 ^cd++++=EXTRAWORD
cm ^nnu++++=cm)
) ^zz++++=EXTRAWORD
while ^cs+sub+++=while
keeping ^vbg+++xvbg+=keeping
the ^ati++++=the
feet ^nns++++=feet
flat ^nn++++=flat
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
" ^zz++++="
you ^pp2+pp2+++=you
need ^vb++++=need
that ^dt+dem+++=that
because ^cs+cos+++=because
the ^ati++++=the
ropes ^nns++++=ropes
to ^to++++=to
grab ^vbi++++=grab
onto ^in++++=onto
are ^vb+ber+vrb++=are
tall ^jj+pred+++=tall,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
i ^pp1a+pp1+++=i
think ^vb+vprv+tht0++=think
most ^ql+emph+++=most
kids ^nns++++=kids
can ^md+pos+++=can
reach ^vb++++=reach
that ^dt+dem+++=that
with ^in++++=with
their ^pp$+pp3+++=their
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Yup ^np+++??+=Yup
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+pred+++=welcome,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
hope ^nn++++=hope
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
fun ^nn++++=fun!
! ^zz++++=EXTRAWORD
