Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
alright ^rb+dspt++??+=alright,
, ^zz++++=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me
a ^rb++++=a
little ^rb"++++=little
about ^in++++=about
your ^pp$+pp2+++=your
interests ^nns++++=interests.
. ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
like ^in++++=like
hiking ^nn++++=hiking
& ^zz++++=&
outdoor ^jjb+atrb+++=outdoor
fun ^nn++++=fun?
? ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
50 ^cd++++=50
miles ^nns++++=miles
of ^in++++=of
trails ^nns++++=trails
within ^in++++=within
flagstaff ^nn+++??+=flagstaff
visit ^vb++++=visit
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
get ^vb++++=get
an ^at++++=an
urban ^jj+atrb+++=urban
trails ^nns++++=trails
map ^nn++++=map.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
also ^rb++++=also
have ^vb+hv+vrb++=have
mountain ^nn++++=mountain
biking ^vwbg+++xvbg+=biking
trails ^nns++++=trails
near ^in+pl+++=near
ft ^nnu++++=ft.
. ^zz++++=EXTRAWORD
tuthill ^nn+++??+=tuthill
county ^nn++++=county
park ^npl++++=park
and ^cc++++=and
on ^in++++=on
the ^ati++++=the
forest ^nn++++=forest
service ^nn++++=service
trails ^nns++++=trails.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
also ^rb++splt++=also
visit ^vb++++=visit
our ^pp$+pp1+++=our
3 ^zz++++=3
national ^jj+atrb+++=national
monuments ^nns+nom+++=monuments
Sunsetc ^np+++??+=SunsetC,
, ^zz++++=EXTRAWORD
wupatki ^nn+++??+=wupatki,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walnutc ^nn+++??+=walnutc.
. ^zz++++=EXTRAWORD
most ^ql+emph+++=most
hikes ^nns+++??+=hikes
are ^vb+ber+vrb++=are
shorter ^jjr+pred+++=shorter,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
have ^vb+hv+vrb++=have
a ^at++++=a
view ^nn++++=view
and ^cc++++=and
native ^jj+atrb+++=native
american ^jj+atrb+++=american
artifacts ^nns+++??+=artifacts
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
see ^vbi+vprv+++=see.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
think ^vb+vprv+tht0++=think
humphreys ^nns+++??+=humphreys
will ^md+prd+++=will
be ^vb+be+vrb++=be
the ^ati++++=the
most ^ql+emph+++=most
challenging ^jj+++xvbg+=challenging
with ^in++++=with
a ^at++++=a
rewarding ^jj+atrb++xvbg+=rewarding
view ^nn++++=view,
, ^zz++++=EXTRAWORD
mt ^nn+++??+=mt.
. ^zz++++=EXTRAWORD
elden ^j+++xvbn+=elden
comes ^vbz++++=comes
next ^rb++++=next.
. ^zz++++=EXTRAWORD
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center
offers ^vbz++++=offers
you ^pp2+pp2+++=you
details ^nns++++=details
on ^in++++=on
elevation ^nn+nom+++=elevation,
, ^zz++++=EXTRAWORD
mileage ^nn+nom+++=mileage,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.
. ^zz++++=EXTRAWORD
make ^vb++++=make
sure ^jj++++=sure
you ^pp2+pp2+++=you
check ^vb+vprv+++=check
weather ^nn++++=weather
prior ^rb++++=prior
as ^ql++++=as
we ^pp1a+pp1+++=we
frequently ^rb++++=frequently
have ^vb+hv+vrb++=have
thunderstorms ^nns++++=thunderstorms
and ^cc++++=and
lightening ^jj+++xvbg+=lightening
this ^dt+dem+++=this
season ^nn++++=season.
. ^zz++++=EXTRAWORD
to ^to++++=to
do ^vbi++++=do
both ^abx++++=both,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
suggest ^vb+vpub+++=suggest
historic ^jj++++=historic
brewing ^jj+++xvbg+=brewing
on ^in++++=on
san ^np++++=san
francisco ^np++++=francisco
or ^cc++++=or
Darksky ^np+++??+=DarkSky
brewing ^vwbg+++xvbg+=brewing
on ^in++++=on
beaver ^jjr++++=beaver
st ^npt++++=st.
. ^zz++++=EXTRAWORD
to ^to++++=to
find ^vbi+vprv+++=find
a ^at++++=a
menu ^nn++++=menu
with ^in++++=with
beer ^nn++++=beer,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
believe ^vb+vprv+tht0++=believe
lumberyard ^nn+++??+=lumberyard
is ^vbz+bez+vrb++=is
another ^dt++++=another
choice ^nn++++=choice.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
suggest ^vb+vpub+tht0++=suggest
you ^pp2+pp2+++=you
visit ^vb++++=visit
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center
and ^cc++++=and
grab ^vb++++=grab
the ^ati++++=the
ale ^nn++++=ale
trail ^nn++++=trail
map ^nn++++=map.
. ^zz++++=EXTRAWORD
