hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
are ^vb+ber+aux++=are
your ^pp$+pp2+++=your
interests ^nns++++=interests?
? ^zz++++=EXTRAWORD
what ^wdt+who+++=what
items ^nns++++=items
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
see ^vbi+vprv+++=see?
? ^zz++++=EXTRAWORD
okay ^rb+dspt+++=okay
one ^cd1++++=one
day ^nn++++=day
you ^pp2+pp2+++=you
could ^md+pos+++=could
hike ^vb+++??+=hike
the ^ati++++=the
san ^np++++=san
francisco ^np++++=francisco
peaks ^nns++++=peaks.
. ^zz++++=EXTRAWORD
humphreys ^nns+++??+=humphreys
is ^vbz+bez+vrb++=is
the ^ati++++=the
highest ^jjt+atrb+++=highest
point ^nn++++=point
in ^in++++=in
arizona ^np++++=arizona
and ^cc++++=and
you ^pp2+pp2+++=you
can ^md+pos+++=can
hike ^vb+++??+=hike
to ^in++++=to
the ^ati++++=the
top ^jjb++++=top
or ^cc++++=or
choose ^vb++++=choose
a ^at++++=a
trail ^nn++++=trail
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
more ^rbr++++=more
mellow ^jj+pred+++=mellow.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
believe ^vb+vprv+++=believe
the ^ati++++=the
sunset ^nn++++=sunset
trail ^nn++++=trail
is ^vbz+bez+vrb++=is
really ^rb+emph+++=really
nice ^jj+pred+++=nice
too ^rb++++=too.
. ^zz++++=EXTRAWORD
another ^ppls++++=another
day ^np++++=day
you ^pp2+pp2+++=you
could ^md+pos+++=could
see ^vb+vprv+++=see
our ^pp$+pp1+++=our
monuments ^nns+nom+++=monuments,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
think ^vb+vprv+++=think
sunsetc ^np++++=SunsetC
and ^cc++++=and
wuptaki ^nn++++=wuptaki
are ^vb+ber+vrb++=are
really ^rb+emph+++=really
neat ^jj+pred+++=neat
to ^to++++=to
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
