hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
two ^cd++++=two
museums ^nns++++=museums.
. ^zz++++=EXTRAWORD
the ^ati++++=the
pioneer ^nn+nom+++=pioneer
museum ^nn++++=museum
is ^vbz+bez+vrb++=is
about ^in++++=about
the ^ati++++=the
founding ^nn++++=founding
of ^in++++=of
flagstaff ^nn+++??+=flagstaff,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
museum ^nn++++=museum
of ^in++++=of
Northernaz ^np+++??+=NorthernAZ
tells ^vbz++++=tells
you ^pp2+pp2+++=you
about ^in++++=about
native ^jj+atrb+++=native
american ^jj+atrb+++=american
history ^nn++++=history
and ^cc++++=and
geology ^nn++++=geology.
. ^zz++++=EXTRAWORD
pioneer ^nn+nom+++=pioneer
museum ^nn++++=museum
has ^vbz+hvz+vrb++=has
a ^at++++=a
couple ^nn++++=couple
exhibits ^nns++++=exhibits.
. ^zz++++=EXTRAWORD
upstairs ^jjb++++=upstairs,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
" ^zz++++="flagstaff
flagstaff ^nn+++??+=EXTRAWORD
through ^in++++=through
the ^ati++++=the
decades ^nns++++=decades"
" ^zz++++=EXTRAWORD
exhibit ^vb++++=exhibit.
. ^zz++++=EXTRAWORD
outside ^jjb++++=outside
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
visit ^vb++++=visit
an ^at++++=an
exhibit ^nn++++=exhibit
of ^in++++=of
pioneer ^nn+nom+++=pioneer
equipment ^nn+nom+++=equipment
from ^in++++=from
the ^ati++++=the
ranchers ^nns+nom+++=ranchers,
, ^zz++++=EXTRAWORD
loggers ^nns+nom+++=loggers,
, ^zz++++=EXTRAWORD
and ^rb++++=and
so ^rb"++++=so
on ^rb"++++=on.
. ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
also ^rb++++=also
a ^at++++=a
main ^nn++++=main
exhibit ^vb++++=exhibit
titled ^jj+++xvbn+=titled
" ^zz++++="todos
todos ^nns+++??+=EXTRAWORD
unidos ^nns+++??+=unidos"
" ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
tells ^vbz++++=tells
you ^pp2+pp2+++=you
about ^in++++=about
how ^wrb+who+++=how
the ^ati++++=the
hispanic ^jj+atrb+++=hispanic
population ^nn+nom+++=population
affected ^vwbn+++xvbn+=affected
how ^wrb+who+++=how
flagstaff ^nn++++=flagstaff
was ^vbd+bedz+vrb++=was
shaped ^jj+pred+++=shaped
and ^cc++++=and
founded ^vbd+++xvbn+=founded.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
