Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
think ^vb+vprv+++=think
josephine ^np++++=josephine's
's ^$++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
a ^at++++=a
menu ^nn++++=menu
and ^cc++++=and
view ^nn++++=view
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
enjoy ^vb++++=enjoy.
. ^zz++++=EXTRAWORD
the ^ati++++=the
cottage ^nn+nom+++=cottage
place ^nn++++=place
and ^cc++++=and
tinderbox ^nn+++??+=tinderbox
are ^vb+ber+vrb++=are
two ^cd++++=two
other ^ap++++=other
choices ^nns++++=choices
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
suggest ^vb+vpub+++=suggest
to ^to++++=to
have ^vbi++vrb++=have
a ^at++++=a
dinner ^nn++++=dinner
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
quiet ^nn++++=quiet
and ^cc++++=and
romantic ^jj++++=romantic.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=do
9 ^zz++++=9
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center
has ^vbz+hvz+vrb++=has
an ^at++++=an
ale ^nn++++=ale
trail ^nn++++=trail
map ^nn++++=map
you ^pp2+pp2+++=you
can ^md+pos+++=can
grab ^vb++++=grab.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
guess ^vb++++=guess
most ^ql+emph+++=most
are ^vb+ber+vrb++=are
nearby ^jjb+pred+++=nearby
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
