i ^pp1a+pp1+++=i
would ^md+prd+++=would
suggest ^vb+vpub+tht0++=suggest
you ^pp2+pp2+++=you
visit ^vb++++=visit
flagstaff ^nn+++??+=flagstaff
extreme ^nn++++=extreme
adventure ^nn++++=adventure
or ^cc++++=or
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
some ^dti++++=some
climbing ^jj+atrb++xvbg+=climbing
area ^nn++++=area
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
pit ^nn++++=pit
and ^cc++++=and
priest ^nn++++=priest
draw ^nn++++=draw.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
also ^rb++++=also
have ^vb+hv+vrb++=have
many ^ap++++=many
mountain ^nn++++=mountain
biking ^vwbg+++xvbg+=biking
trail ^nn++++=trail
such ^abl++++=such
as ^ql++++=as
shultz ^nn+++??+=shultz
creek ^npl++++=creek
or ^cc++++=or
the ^ati++++=the
upper ^jjb+atrb+++=upper
and ^cc+phrs+++=and
lower ^jjr++++=lower
oldham ^np++++=oldham
trails ^nns++++=trails.
. ^zz++++=EXTRAWORD
yeah ^uh++++=yeah
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
kids ^nns++++=kids
course ^nn++++=course
for ^in++++=for
smaller ^jjr+atrb+++=smaller
ones ^cd1s++++=ones
or ^cc++++=or
they ^pp3a+pp3+++=they
must ^md+nec+++=must
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
reach ^vb++++=reach
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
their ^pp$+pp3+++=their
palms ^nns++++=palms
to ^in++++=to
a ^at++++=a
height ^nn++++=height
of ^in++++=of
5 ^zz++++=5
11 ^cd++++=11
( ^zz++++=(180
180 ^cd++++=EXTRAWORD
cm ^nnu++++=cm)
) ^zz++++=EXTRAWORD
while ^cs+sub+++=while
keeping ^vbg+++xvbg+=keeping
the ^ati++++=the
feet ^nns++++=feet
flat ^nn++++=flat
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground
to ^to++++=to
do ^vbi++++=do
the ^ati++++=the
adult ^nn++++=adult
course ^nn++++=course.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
