what ^wdt+who+++=what
food ^nn++++=food
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
like ^vb++++=like
or ^cc++++=or
dislike ^nn++++=dislike?
? ^zz++++=EXTRAWORD
okay ^rb+dspt+++=okay
casa ^nn+++??+=casa
duarte ^nn+++??+=duarte
or ^cc++++=or
el ^np++++=el
capitan ^nn++++=capitan
are ^vb+ber+vrb++=are
mexican ^jj+atrb+++=mexican
places ^nns++++=places
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
like ^vb++++=like.
. ^zz++++=EXTRAWORD
pizzacletta ^nn+++??+=pizzacletta
is ^vbz+bez+vrb++=is
a ^at++++=a
neapolitan ^jj+atrb+++=neapolitan
style ^nn++++=style
pizza ^nn++++=pizza
or ^cc++++=or
fratellis ^nns+++??+=fratellis
is ^vbz+bez+vrb++=is
our ^pp$+pp1+++=our
local ^jj++++=local
favorite ^jj++++=favorite.
. ^zz++++=EXTRAWORD
flagstaff ^nn+++??+=flagstaff
is ^vbz+bez+aux++=is
known ^vpsv++agls+xvbnx+=known
for ^in++++=for
southwestern ^jj+atrb++xvbn+=southwestern
food ^nn++++=food
charlies ^nns+++??+=charlies
or ^cc++++=or
kachina ^nn+++??+=kachina
have ^vb+hv+vrb++=have
a ^at++++=a
navajo ^nn+++??+=navajo
taco ^nn+++??+=taco
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
local ^jj++++=local
to ^in++++=to
our ^pp$+pp1+++=our
area ^nn++++=area.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
