well ^rb++++=well
having ^vbg+hvg++xvbg+=having
you ^pp2+pp2+++=you
only ^rb+down+++=only
one ^cd1++++=one
hour ^nn++++=hour
in ^in++++=in
flagstaff ^nn+++??+=flagstaff,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
explore ^vb++++=explore
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
many ^ap++++=many
shops ^nns++++=shops,
, ^zz++++=EXTRAWORD
restaurants ^nns+nom+++=restaurants
and ^cc++++=and
art ^nn++++=art
galleries ^nns+nom+++=galleries
and ^cc++++=and
this ^dt+pdem+++=this
will ^md+prd+++=will
give ^vb++++=give
you ^pp2+pp2+++=you
a ^at++++=a
feel ^nn++++=feel
for ^in++++=for
the ^ati++++=the
community ^nn+nom+++=community.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
must ^md+nec+++=must
highlight ^vb++++=highlight
the ^ati++++=the
historic ^jj++++=historic
two ^cd++++=two
spot ^nn++++=spot
train ^nn++++=train,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hotel ^nn++++=hotel
monte ^np++++=monte
vista ^np++++=vista,
, ^zz++++=EXTRAWORD
the ^ati++++=the
weatherford ^nn+++??+=weatherford
hotel ^npl++++=hotel
and ^cc++++=and
the ^ati++++=the
nativity ^nn+nom+++=nativity
of ^in++++=of
the ^ati++++=the
blessed ^jj+atrb+++=blessed
virgin ^jjb++++=virgin
mary ^np++++=mary
church ^nn++++=church.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
