Hello ^rb+dspt+++=Hello
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
you ^pp2+pp2+++=you
a ^at++++=a
couple ^nn++++=couple
sports ^nns++++=sports
bars ^nns++++=bars
and ^cc++++=and
restaurants ^nns+nom+++=restaurants
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
try ^vb++++=try
majerle ^nn+++??+=majerle's
's ^vbz+bez+vrb++0=EXTRAWORD
on ^in++++=on
route ^nn++++=route
66 ^cd++++=66/san
francisco ^np++++=francisco
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
charly ^jj+atrb+++=charly's
's ^vbz+bez+vrb++0=EXTRAWORD
pub ^nn++++=pub
& ^zz++++=&
grill ^nn++++=grill,
, ^zz++++=EXTRAWORD
collins ^np++++=collins
irish ^jj+atrb+++=irish
pub ^nn++++=pub,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
market ^nn++++=market
would ^md+prd+++=would
also ^rb++++=also
likely ^jj++++=likely
have ^vb+hv+vrb++=have
the ^ati++++=the
match ^nn++++=match
on.(england ^nn+++??+=on.(england
scored ^vbd+++xvbn+=scored
already ^rb++++=already
in ^in++++=in
the ^ati++++=the
first ^rb++++=first
5 ^zz++++=5
minutes ^nns++++=minutes!)
! ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
think ^vb+vprv+tht0++=think
this ^dt+pdem+++=this
will ^md+prd+++=will
be ^vb+be+vrb++=be
interesting ^jj+pred+++=interesting!
! ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
any ^dti++++=any
other ^ap++++=other
questions ^nns+nom+++=questions?
? ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
the ^ati++++=the
garden ^nn++++=garden
thrift ^nn++++=thrift
just ^rb+emph+++=just
south ^np+pl+++=south
of ^in++++=of
the ^ati++++=the
tracks ^nns++++=tracks
on ^in++++=on
beaver ^jjr++++=beaver
street ^npl++++=street/phoenix
ave ^nn+++??+=ave.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
other ^ap++++=other
thrift ^nn++++=thrift
stores ^nns++++=stores
but ^cc++++=but
you ^pp2+pp2+++=you
may ^md+pos+++=may
need ^vb++md++=need
to ^to+vcmp+++=to
drive ^vb++++=drive.
. ^zz++++=EXTRAWORD
