we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
lakem ^nn+++??+=lakem
ashurst ^nn+++??+=ashurst
lake ^nn++++=lake
and ^cc++++=and
Oakc ^np+++??+=OakC
that ^tht+rel+obj++=that
i ^pp1a+pp1+++=i
think ^vb+vprv+++=think
are ^vb+ber+vrb++=are
really ^rb+emph+++=really
good ^jj+pred+++=good.
. ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
are ^vb+ber+vrb++=are
all ^abn++++=all
stocked ^jj+++xvbn+=stocked
with ^in++++=with
trout ^np++++=trout
so ^ql++++=so
make ^vb++++=make
sure ^jj++++=sure
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
a ^at++++=a
trout ^nns++++=trout
stamp ^nn++++=stamp
on ^in++++=on
your ^pp$+pp2+++=your
license ^nn+++??+=license
Lakem ^np+++??+=LakeM
is ^vbz+bez+vrb++=is
10 ^cd++++=10
miles ^nns++++=miles,
, ^zz++++=EXTRAWORD
ashursh ^nn+++??+=ashursh
is ^vbz+bez+vrb++=is
20 ^cd++++=20
miles ^nns++++=miles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
oak ^nn++++=oak
creak ^vb++++=creak
begins ^vbz++++=begins
20 ^cd++++=20
miles ^nns++++=miles
from ^in++++=from
here ^rn+pl+++=here
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
