Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
have ^vb+hv+vrb++=have
a ^ap++++=a
few ^ap"++++=few
options ^nns+nom+++=options
for ^in++++=for
you ^pp2+pp2+++=you
. ^zz++++=.
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
looking ^vbg+++xvbg+=looking
for ^in++++=for
more ^ql++++=more
restaurants ^nns+nom+++=restaurants,
, ^zz++++=EXTRAWORD
chains ^nns++++=chains,
, ^zz++++=EXTRAWORD
fast ^rb++++=fast
food ^nn++++=food,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc?
? ^zz++++=EXTRAWORD
okay ^rb+dspt+++=okay.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
would ^md+prd+++=would
suggest ^vb+vpub+++=suggest
beaver ^jjr+atrb+++=beaver
street ^nn++++=street,
, ^zz++++=EXTRAWORD
charly ^jj+atrb+++=charly's
's ^vbz+bez+vrb++0=EXTRAWORD
pub ^nn++++=pub
and ^cc++++=and
grill ^nn++++=grill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bigfoot ^np+++??+=Bigfoot
bbq ^nn+++??+=bbq.
. ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
are ^vb+ber+vrb++=are
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
can ^md+pos+++=can
give ^vb++++=give
you ^pp2+pp2+++=you
alternatives ^nns++++=alternatives
outside ^jjb++++=outside
downtown ^rn++++=downtown
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
want ^vb++++=want?
? ^zz++++=EXTRAWORD
okay ^rb+dspt+++=okay
perfect ^jj++++=perfect.
. ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
anything ^pn++++=anything
else ^rb+cnj+++=else
i ^pp1a+pp1+++=i
can ^md+pos+++=can
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
