hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
for ^in++++=for
sandwiches ^nns++++=sandwiches
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
suggest ^vb+vpub+++=suggest
aspen ^vb+++xvbn+=aspen
deli ^nn+++??+=deli,
, ^zz++++=EXTRAWORD
mix ^vb++++=mix
on ^in++++=on
the ^ati++++=the
square ^nn++++=square,
, ^zz++++=EXTRAWORD
the ^ati++++=the
eat ^vb++++=eat
and ^cc++++=and
run ^nn+++xvbn+=run
or ^cc++++=or
cafe ^nn++++=cafe
daily ^jj++++=daily
fare ^vb++++=fare
those ^dt+pdem+++=those
are ^vb+ber+aux++=are
locally ^rb+pl+splt++=locally
owned ^vpsv++agls+xvbn+=owned
and ^cc++++=and
our ^pp$+pp1+++=our
local ^jj+atrb+++=local
favorites ^nns++++=favorites
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+atrb+++=welcome
