hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
believe ^vb+vprv+++=believe
doing ^vbg+++xvbg+=doing
all ^abn++++=all
three ^cd++++=three
of ^in++++=of
those ^dt+dem+++=those
in ^in++++=in
one ^cd1++++=one
day ^nn++++=day
could ^md+pos+++=could
work ^vb++++=work.
. ^zz++++=EXTRAWORD
dinosaur ^nn+++??+=dinosaur
tracks ^nns++++=tracks
is ^vbz+bez+vrb++=is
in ^in++++=in
tuba ^nn+++??+=tuba
city ^nn++++=city,
, ^zz++++=EXTRAWORD
so ^ql++++=so
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
start ^vb++++=start
there ^rn+pl+++=there
and ^cc++++=and
making ^vbg+++xvbg+=making
your ^pp$+pp2+++=your
way ^nn++++=way
back ^jjb++++=back
down ^rp++++=down
to ^in++++=to
flagstaff ^nn+++??+=flagstaff
as ^ql++++=as
you ^pp2+pp2+++=you
visit ^vb++++=visit
each ^dt++++=each
place ^nn++++=place.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
plan ^vb++++=plan
at ^rb++++=at
least ^rb"++++=least
1 ^zz++++=1-2
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
hours ^nns++++=hours
at ^rb++++=at
each ^dt++++=each
place ^nn++++=place.
. ^zz++++=EXTRAWORD
okay ^rb+dspt+++=okay
in ^in++++=in
total ^nn++++=total,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
looking ^vbg+++xvbgx+=looking
at ^rb++++=at
3 ^zz++++=3
hours ^nns++++=hours
of ^in++++=of
driving ^xvbg+++xvbg+=driving
Sunset ^nn++++=Sunset
and ^cc++++=and
Wupatki ^np+++??+=Wupatki
are ^vb+ber+vrb++=are
along ^in++++=along
the ^ati++++=the
same ^ap++++=same
loop ^nn++++=loop
road ^npl++++=road
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+pred+++=welcome!
! ^zz++++=EXTRAWORD
