hello ^rb+dspt+++=hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
redcurry ^nn++++=redcurry
kitchen ^nn++++=kitchen
is ^vbz+bez+vrb++=is
vegan ^jj+pred+++=vegan,
, ^zz++++=EXTRAWORD
10 ^cd++++=10
n ^zz++++=n
san ^np++++=san
francisco ^np++++=francisco
st ^npl++++=st,
, ^zz++++=EXTRAWORD
so ^ql++++=so
does ^vbz+doz+vrb++=does
whyld ^jj+atrb++??+=whyld
ass ^nn++++=ass
121 ^cd++++=121
e ^zz++++=e.
. ^zz++++=EXTRAWORD
birch ^nn++++=birch
ave ^nn+++??+=ave
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
east ^np+pl+++=east
of ^in++++=of
san ^np++++=san
francisco ^np++++=francisco).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
many ^ap++++=many
restaurants ^nns+nom+++=restaurants
would ^md+prd+++=would
offer ^vb++++=offer
you ^pp2+pp2+++=you
vegetarian ^nn++++=vegetarian
options ^nns+nom+++=options,
, ^zz++++=EXTRAWORD
these ^dt+pdem+++=these
include ^vb++++=include
the ^ati++++=the
locally ^rb+pl+++=locally-made
- ^zz++++=EXTRAWORD
made ^vprf+++xvbn+=EXTRAWORD
tepa ^nn+++??+=tepa
vegetarian ^nn++++=vegetarian
burger ^jjr++++=burger.
. ^zz++++=EXTRAWORD
thorpe ^np++++=thorpe
park ^nn++++=park
is ^vbz+bez+vrb++=is
our ^pp$+pp1+++=our
closest ^jjt+atrb+++=closest
one ^pn++++=one.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
located ^vpsv++agls+xvbnx+=located
on ^in++++=on
santa ^&fw++++=santa
fe ^&fo++++=fe
ave ^nn+++??+=ave.
. ^zz++++=EXTRAWORD
& ^zz++++=&
thorpe ^np++++=thorpe
park ^nn++++=park
rd ^npl++++=rd.
. ^zz++++=EXTRAWORD
just ^rb+emph+++=just
go ^vb++++=go
towards ^in++++=towards
lowellobs ^np++++=LowellObs.
. ^zz++++=EXTRAWORD
