hello ^rb+dspt+++=hello
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i'm
'm ^vb+bem+vrb++0=EXTRAWORD
< ^zz++++=<guide1>.
guide1 ^nn+++??+=EXTRAWORD
> ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
what ^wdt+who+++=what
accommodation ^nn+nom+++=accommodation
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
looking ^vbg+++xvbg+=looking
for ^in+strn+++=for?
? ^zz++++=EXTRAWORD
okay ^rb+cnj+++=okay,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
some ^dti++++=some
options ^nns+nom+++=options
that ^tht+rel+subj++=that
would ^md+prd+++=would
fit ^vb++++=fit
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
comfortable ^jj++++=comfortable
with ^in++++=with
a ^at++++=a
hostel ^nn++++=hostel?
? ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
the ^ati++++=the
motel ^nn+++??+=motel
du ^&fw++++=du
beau ^nn+++??+=beau
and ^cc++++=and
the ^ati++++=the
Grandc ^np+++??+=GrandC
international ^jj+atrb+++=international
hostel ^nn++++=hostel.
. ^zz++++=EXTRAWORD
to ^to++++=to
find ^vbi+vprv+++=find
a ^at++++=a
traditional ^jj+atrb+++=traditional
hotel ^nn++++=hotel
you ^pp2+pp2+++=you
can ^md+pos+++=can
stay ^vb++++=stay
at ^rb++++=at
hotels ^nns++++=hotels
like ^in++++=like
the ^ati++++=the
super ^jj++++=super
8 ^zz++++=8,
, ^zz++++=EXTRAWORD
days ^nns++++=days
inn ^nn++++=inn,
, ^zz++++=EXTRAWORD
knights ^nns++++=knights
inn ^npl++++=inn,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.
. ^zz++++=EXTRAWORD
all ^abn++++=all
flagstaff ^nn+++??+=flagstaff
hotels ^nns++++=hotels
change ^nn++++=change
prices ^nns++++=prices
pretty ^rb++++=pretty
much ^ap++++=much
daily ^jj++++=daily.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
search ^vb++++=search
prices ^nns++++=prices
online ^nn+++??+=online
if ^cs+cnd+++=if
any ^dti++++=any
of ^in++++=of
those ^dt+pdem+++=those
attract ^vb++++=attract
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
what ^wdt+who+++=what
food ^nn++++=food
would ^md+prd+++=would
you ^pp2+pp2+++=you
like ^vb++++=like
to ^to+vcmp+++=to
have ^vbi++++=have?
? ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
most ^ql+emph+++=most
cuisines ^nns+++??+=cuisines
. ^zz++++=.
downtown ^rn++++=downtown
has ^vbz+hvz+vrb++=has
quite ^rb++++=quite
a ^ap++++=a
few ^ap"++++=few
breweries ^nns+nom+++=breweries,
, ^zz++++=EXTRAWORD
like ^in++++=like
mother ^nn++++=mother
road ^npl++++=road
and ^cc++++=and
the ^ati++++=the
lumberyard ^nn+++??+=lumberyard,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
also ^rb++++=also
offer ^vb++++=offer
you ^pp2+pp2+++=you
food ^nn++++=food.
. ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
bbq ^nn+++??+=bbq
and ^cc++++=and
southwestern ^jj+atrb++xvbn+=southwestern
restaurants ^nns+nom+++=restaurants
as ^rb++++=as
well ^rb++++=well!
! ^zz++++=EXTRAWORD
Ok ^rb+dspt+++=Ok
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
fine ^jj++++=fine!
! ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
some ^dti++++=some
options ^nns+nom+++=options
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
spicy ^nn+++??+=spicy.
