Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
good ^jj++++=good
to ^to+jcmp+++=to
know ^vbi+vprv+++=know.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
suggest ^vb+vpub+++=suggest
diablo ^np++++=diablo
burger ^jjr++++=burger
for ^in++++=for
burger ^nn++++=burger.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
also ^rb++++=also
think ^vb+vprv+++=think
lumberyard ^nn+++??+=lumberyard,
, ^zz++++=EXTRAWORD
historic ^jj++++=historic,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Darksky ^np+++??+=DarkSky
brewing ^vwbg+++xvbg+=brewing
have ^vb+hv+vrb++=have
food ^nn++++=food
and ^cc++++=and
craft ^nn++++=craft
beer ^nn++++=beer
as ^rb++++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
to ^in++++=to
criollo ^nn+++??+=criollo
or ^cc++++=or
martanne ^nn+++??+=martanne's
's ^$++++=EXTRAWORD
though ^rb+cnj+++=though.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
choose ^vb++++=choose
a ^at++++=a
hotel ^npl++++=hotel
near ^in+pl+++=near
lucky ^jj+atrb+++=lucky
lane ^nn++++=lane.
. ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
near ^rb++++=near
downtown ^rn++++=downtown
or ^cc++++=or
the ^ati++++=the
train ^nn++++=train
if ^cs+cnd+++=if
rest ^nn++++=rest
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
you ^pp2+pp2+++=you
need ^vb++++=need
the ^ati++++=the
most ^ap+emph+++=most.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
would ^md+prd+++=would
grab ^vb++++=grab
the ^ati++++=the
visitor ^nn++++=visitor's
's ^$++++=EXTRAWORD
guide ^nn++++=guide
inside ^jjb++++=inside
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
all ^rb++++=all
the ^ati++++=the
phone ^nn++++=phone
numbers ^nns+nom+++=numbers
you ^pp2+pp2+++=you
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
make ^vb++++=make
your ^pp$+pp2+++=your
reservations ^nns+nom+++=reservations.
. ^zz++++=EXTRAWORD
