hello ^rb+dspt+++=hello
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i'm
'm ^vb+bem+vrb++0=EXTRAWORD
< ^zz++++=<guide1>.
guide1 ^nn+++??+=EXTRAWORD
> ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you
today ^nr+tm+++=today?
? ^zz++++=EXTRAWORD
what ^wdt+who+++=what
things ^nns++++=things
do ^vb+do+aux++=do
they ^pp3a+pp3+++=they
like ^vb++++=like
to ^to+vcmp+++=to
do ^vbi++++=do?
? ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
would ^md+prd+++=would
suggest ^vb+vpub+++=suggest
the ^ati++++=the
Buffalop ^np+++??+=BuffaloP
for ^in++++=for
smaller ^jjr+atrb+++=smaller
excursions ^nns++++=excursions,
, ^zz++++=EXTRAWORD
little ^ap++++=little
ones ^cd1s++++=ones
find ^vb+vprv+++=find
the ^ati++++=the
trail ^nn++++=trail
easy ^jj++++=easy.
. ^zz++++=EXTRAWORD
the ^ati++++=the
arizona ^np++++=arizona
snowbowl ^nn+++??+=snowbowl
also ^rb++++=also
has ^vbz+hvz+vrb++=has
a ^at++++=a
chairlift ^nn+++??+=chairlift
that ^tht+rel+++=that
all ^abn++++=all
ages ^nns++++=ages
enjoy ^vb++++=enjoy.
. ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me
read ^vbd+vprv++xvbn+=read
the ^ati++++=the
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
ok ^rb+dspt+++=ok,
, ^zz++++=EXTRAWORD
so ^ql++++=so
august ^nr++++=august
brings ^vbz++++=brings
a ^at++++=a
chance ^nn++++=chance
of ^in++++=of
monsoons ^nns+++??+=monsoons
otherwise ^rb+cnj+++=otherwise
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find
always ^rb++++=always
cool ^jj++++=cool
to ^to++++=to
go ^vbi++++=go
outdoors ^nns+pl+++=outdoors
and ^cc++++=and
hike ^nn+++??+=hike
and ^cc++++=and
mountain ^nn++++=mountain
bike ^nn++++=bike.
. ^zz++++=EXTRAWORD
grandc ^nn+++??+=grandc
is ^vbz+bez+vrb++=is
open ^jj+atrb+++=open
year ^nn++++=year-round,
- ^zz++++=EXTRAWORD
round ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
except ^in++++=except
for ^in"++++=for
government ^nn+nom+++=government
shut ^vbd+++xvbn+=shut
downs ^nns++++=downs,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+aux++=had
issues ^vbz++++=issues
with ^in++++=with
in ^in++++=in
the ^ati++++=the
past ^nn++++=past.
. ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
that ^dt+pdem+++=that
do ^vb+do+aux++=do
is ^vbz+bez+aux++=is
to ^to++++=to
close ^vb++++=close
the ^ati++++=the
road ^npl++++=road
that ^tht+rel+subj++=that
goes ^vbz++++=goes
to ^in++++=to
the ^ati++++=the
Desertv ^np+++??+=DesertV
watchtower ^jjr++++=watchtower
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
wintry ^jj+atrb+++=wintry
road ^nn++++=road
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
believe ^vb+vprv+tht0++=believe
winter ^nn++++=winter
is ^vbz+bez+vrb++=is
actually ^rb+amp+++=actually
a ^at++++=a
great ^jj+atrb+++=great
season ^nn++++=season
to ^to++++=to
visit ^vbi++++=visit
the ^ati++++=the
canyon ^nn++++=canyon.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
off ^rp+pl+++=off-season
- ^zz++++=EXTRAWORD
season ^nn++++=EXTRAWORD
and ^cc++++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
find ^vb+vprv+++=find
less ^ql++++=less
travellers ^nns+nom+++=travellers
