How ^wrb+who+++=How
Can ^md+pos+++=Can
I ^pp1a+pp1+++=I
help ^vb++++=help
You ^pp2+pp2+++=You?
? ^zz++++=EXTRAWORD
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
check ^vb+vprv+++=check
Pinkjeep ^np+++??+=PinkJeep
tours ^nns++++=tours,
, ^zz++++=EXTRAWORD
the ^ati++++=the
jeep ^nn++++=jeep
tour ^nn++++=tour
' ^zz++++='touch
touch ^nn++++=EXTRAWORD
the ^ati++++=the
earth ^nn++++=earth'
' ^zz++++=EXTRAWORD
would ^md+prd+++=would
take ^vb++++=take
you ^pp2+pp2+++=you
to ^in++++=to
the ^ati++++=the
vortex ^nn++++=vortex
sites ^nns++++=sites.
. ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
Grandc ^np+++??+=GrandC
tour ^nn++++=tour
from ^in++++=from
flagstaff ^nn+++??+=flagstaff
i ^pp1a+pp1+++0=i'd
'd ^md+prd+aux++=EXTRAWORD
suggest ^vb+vpub+tht0++=suggest
you ^pp2+pp2+++=you
check ^vb+vprv+++=check
the ^ati++++=the
all ^rb++++=all
star ^nn++++=star
Grandc ^np+++??+=GrandC,
, ^zz++++=EXTRAWORD
Grandc ^np+++??+=GrandC
adventures ^nns++++=adventures
or ^cc++++=or
canyon ^nn++++=canyon
country ^nn++++=country
tours ^nns++++=tours.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
are ^vb+ber+vrb++=EXTRAWORD
welcome ^jj+pred+++=welcome.
. ^zz++++=EXTRAWORD
