Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
i ^pp1a+pp1+++=i
help ^vb++++=help
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
some ^dti++++=some
very ^ql+amp+++=very
pretty ^rb++++=pretty
red ^jj+atrb+++=red
rocks ^nns++++=rocks
there ^rn+pl+++=there
and ^cc++++=and
it ^pp3+it+++=it
has ^vbz+hvz+vrb++=has
a ^at++++=a
different ^jj+atrb+++=different
view ^nn++++=view
than ^in++++=than
flagstaff ^nn+++??+=flagstaff.
. ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
like ^in++++=like
hiking ^nn++++=hiking?
? ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
some ^dti++++=some
ones ^cd1s++++=ones
i ^pp1a+pp1+++=i
would ^md+prd+++=would
suggest ^vb+vpub+++=suggest
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
also ^rb++++=also
just ^rb+emph+++=just
nice ^jj++++=nice
to ^to+jcmp+++=to
visit ^vbi++++=visit
some ^dti++++=some
viewpoints ^nns++++=viewpoints
though ^rb+cnj+++=though.
. ^zz++++=EXTRAWORD
the ^ati++++=the
shopping ^jj+atrb++xvbg+=shopping
area ^nn++++=area
can ^md+pos+++=can
be ^vb+be+vrb++=be
too ^ql++++=too
much ^ap++++=much
in ^in++++=in
my ^pp$+pp1+++=my
opinion ^nn++++=opinion.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
head ^jjb++++=head
down ^in++++=down
179 ^cd++++=179
to ^in++++=to
the ^ati++++=the
red ^jj+atrb+++=red
rock ^npl++++=rock
scenic ^jj+atrb+++=scenic
highway ^nn++++=highway
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find
several ^ap++++=several
viewpoints ^nns++++=viewpoints.
. ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
also ^rb++++=also
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
Schneblyh ^np+++??+=SchneblyH
has ^vbz+hvz+vrb++=has
some ^dti++++=some
viewpoints ^nns++++=viewpoints
so ^ql++++=so
does ^vbz+doz+vrb++=does
the ^ati++++=the
airport ^nn++++=airport
rd ^npl++++=rd.
. ^zz++++=EXTRAWORD
overlook ^vb+vprv+tht0++=overlook
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
lots ^nns++++=lots
of ^in++++=of
iron ^nn++++=iron
in ^in++++=in
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
